Name of theCommittee,Extract of terms of reference,Extract of terms of reference,Category and composition,Category and composition,Other details,
,,,Statutory Commitees,Statutory Commitees,,
Audit Committee,Committee is constituted in line with the,Committee is constituted in line with the,Name,Category,Seven meetings of the Audit Committee,
,"provisions of Regulation 18 of SEBl ListingRegulations and Section 177 of the Act.Oversight of financial reporting process.Reviewing with the management, the annualfinancial statements and auditors'reportthereon before submission to the Board for","provisions of Regulation 18 of SEBl ListingRegulations and Section 177 of the Act.Oversight of financial reporting process.Reviewing with the management, the annualfinancial statements and auditors'reportthereon before submission to the Board for",,Keki Mistry (Chairman)*,"Independent, Non-Executive",
,"provisions of Regulation 18 of SEBl ListingRegulations and Section 177 of the Act.Oversight of financial reporting process.Reviewing with the management, the annualfinancial statements and auditors'reportthereon before submission to the Board for","provisions of Regulation 18 of SEBl ListingRegulations and Section 177 of the Act.Oversight of financial reporting process.Reviewing with the management, the annualfinancial statements and auditors'reportthereon before submission to the Board for",O P Bhatt,"Independent, Non-Executive",ex,
,"provisions of Regulation 18 of SEBl ListingRegulations and Section 177 of the Act.Oversight of financial reporting process.Reviewing with the management, the annualfinancial statements and auditors'reportthereon before submission to the Board for","provisions of Regulation 18 of SEBl ListingRegulations and Section 177 of the Act.Oversight of financial reporting process.Reviewing with the management, the annualfinancial statements and auditors'reportthereon before submission to the Board for",Aarthi Subramanian,"Non-Independent,Non-Executive",,
,"provisions of Regulation 18 of SEBl ListingRegulations and Section 177 of the Act.Oversight of financial reporting process.Reviewing with the management, the annualfinancial statements and auditors'reportthereon before submission to the Board for","provisions of Regulation 18 of SEBl ListingRegulations and Section 177 of the Act.Oversight of financial reporting process.Reviewing with the management, the annualfinancial statements and auditors'reportthereon before submission to the Board for",Dr Pradeep Kumar Khosla,"Independent, Non-Executive",,
,"provisions of Regulation 18 of SEBl ListingRegulations and Section 177 of the Act.Oversight of financial reporting process.Reviewing with the management, the annualfinancial statements and auditors'reportthereon before submission to the Board for","provisions of Regulation 18 of SEBl ListingRegulations and Section 177 of the Act.Oversight of financial reporting process.Reviewing with the management, the annualfinancial statements and auditors'reportthereon before submission to the Board for",Hanne Sorensen**,"Independent, Non-Executive",,
,"approval.Evaluation of internal financial controls andrisk management systems.Recommendation for appointment,remuneration and terms of appointment ofauditors of the Company.Approve policies in relation to theimplementation of the Insider Trading Codeand to supervise implementation of the same.To consider matters with respect to the TataCode of Conduct, Anti-bribery andAnti-Corruption Policy and Gifts Policy.","approval.Evaluation of internal financial controls andrisk management systems.Recommendation for appointment,remuneration and terms of appointment ofauditors of the Company.Approve policies in relation to theimplementation of the Insider Trading Codeand to supervise implementation of the same.To consider matters with respect to the TataCode of Conduct, Anti-bribery andAnti-Corruption Policy and Gifts Policy.",Don Callahan**,"Independent, Non-Executive",·T,
,"approval.Evaluation of internal financial controls andrisk management systems.Recommendation for appointment,remuneration and terms of appointment ofauditors of the Company.Approve policies in relation to theimplementation of the Insider Trading Codeand to supervise implementation of the same.To consider matters with respect to the TataCode of Conduct, Anti-bribery andAnti-Corruption Policy and Gifts Policy.","approval.Evaluation of internal financial controls andrisk management systems.Recommendation for appointment,remuneration and terms of appointment ofauditors of the Company.Approve policies in relation to theimplementation of the Insider Trading Codeand to supervise implementation of the same.To consider matters with respect to the TataCode of Conduct, Anti-bribery andAnti-Corruption Policy and Gifts Policy.",Aman Mehta^,"Independent, Non-Executive",,
,"approval.Evaluation of internal financial controls andrisk management systems.Recommendation for appointment,remuneration and terms of appointment ofauditors of the Company.Approve policies in relation to theimplementation of the Insider Trading Codeand to supervise implementation of the same.To consider matters with respect to the TataCode of Conduct, Anti-bribery andAnti-Corruption Policy and Gifts Policy.","approval.Evaluation of internal financial controls andrisk management systems.Recommendation for appointment,remuneration and terms of appointment ofauditors of the Company.Approve policies in relation to theimplementation of the Insider Trading Codeand to supervise implementation of the same.To consider matters with respect to the TataCode of Conduct, Anti-bribery andAnti-Corruption Policy and Gifts Policy.",Aman Mehta^,"Independent, Non-Executive",,
