Fair value through profit or loss,Fair value through other comprehensive income,Derivative instruments in hedging relationship,Derivative instruments not in hedging relationship,Amortised cost,( crore) Total
Cash and cash equivalents,,,,,
Bank deposits,,,,5400,5400
Earmarked balances with banks,-,1,,,173
Investments (other than in subsidiary),3018,24772,,,"490,28280"
Trade receivables,-,,,,
Unbilled receivables,,,,4776,4776
Loans receivables,,,,7020,7020
Other financial assets,,,237,347,"1594,2178"
Total,3018,24772,237,347,"46904,75278"
Trade payables,,,,7692,7692
Lease liabilities,,,,33,33
Other financial liabilities,,,,59,"3524,3583"
Total,,,,59,"11249,11308"
