As at March 31, 2019, Deferred tax assets / (liabilities) in relation to, Assets, Liabilities, Net
Property, plant and equipment and Intangible assets, 137, 40, 97,
Provision for employee benefits, 368, -, 368,,
Cash flow hedges, (12), -, (12),,
Receivables, financial assets at amortised cost, 284, -, 284,
MAT credit entitlement, 1,157, -, 1,157
Branch profit tax, -, 299, (299),,
Unrealised gain on securities carried at fair value through profit or loss / other comprehensive income, (149), -, (149),,
Lease liabilities, 88, -, 88,,
Others, 224, -, 224,,
Total deferred tax assets / (liabilities), 2,097, 339, 1,758
