Name of the Committee,Extract of terms of reference,Category and composition,Other details
Audit Committee,Committee is constituted in line with the provisions of Regulation 18 of SEBI Listing Regulations and Section 177 of the Act.,,"Name,Category"
,,• Oversight of financial reporting process.,",Keki Mistry (Chairman)*,Independent, Non-Executive"
,,"• Reviewing with the management, the annual financial statements and auditors' report thereon before submission to the Board for approval.",",O P Bhatt,Independent, Non-Executive"
,,• Evaluation of internal financial controls and risk management systems.,",Aarthi Subramanian,Non-Independent, Non-Executive"
,,"• Recommendation for appointment, remuneration and terms of appointment of auditors of the Company.",",Dr Pradeep Kumar Khosla,Independent, Non-Executive"
,,• Approve policies in relation to the implementation of the Insider Trading Code and to supervise implementation of the same.,",Hanne Sorensen**,Independent, Non-Executive"
,,"• To consider matters with respect to the Tata Code of Conduct, Anti-bribery and Anti-Corruption Policy and Gifts Policy.",",Don Callahan**,Independent, Non-Executive"
,,• Seven meetings of the Audit Committee were held during the year under review and the gap between two meetings did not exceed one hundred and twenty days.,",Aman Mehta^,Independent, Non-Executive"
,,"• Committee invites such of the executives as it considers appropriate, representatives of the statutory auditors and internal auditors, to be present at its meetings.",",Dr Ron Sommer^^,Independent, Non-Executive"
,,• The Company Secretary acts as the Secretary to the Audit Committee.,",*,,Appointed as a member w. e. f. April 12, 2019 and Chairman w.e.f. June 27, 2019 of this Committee."
,,• Rajendra Moholkar is the Compliance Officer to ensure compliance and effective implementation of the Insider Trading Code.,",**,,Appointed as a member of this Committee w.e.f. April 12, 2019."
,,• Quarterly Reports are sent to the members of the Committee on matters relating to the Insider Trading Code.,",^,,Ceased to be a member and Chairman of this Committee consequent to the completion of his term as Independent Director w.e.f. June 26, 2019."
,,"• The previous AGM of the Company was held on June 13, 2019 and was attended by Aman Mehta, the then Chairman of the Audit Committee.","^^,,Ceased to be a member of this Committee consequent to the completion of his term as Independent Director w.e.f. June 26, 2019."
