As at,As at,"Mar 31,2020","Mar 31,2019"
Investment revaluation reserve,Investment revaluation reserve,"Asat March 31, 2020","Asat March 31, 2019"
(i),Opening balance,192,(84)
(ii),Realised loss on equity shares carried at fair value through OCI,-,1
(iii),Change during the year (net),604,275
,,796,192
Cash flow hedging reserve (Refer note 8(j)),Cash flow hedging reserve (Refer note 8(i)),,
(i),Opening balance,104,(71)
(ii),Change during the year (net),-127,175
,,23,104
Foreign currency translation reserve,Foreign currency translation reserve (i) Opening balance,"1,380","1,474"
(ii),Change during the year (net),286,(94)
,,"1,666","1,380"
,,"83,751",89.071
