Compounded AnnualGrowth Rate (CAGR),"The annual growth rate between any two points in time,assuming that it has been compounding during that period."
Connected Clinical Trials(CCT) Platform,"Part of the TCS ADD suite, CCT is an innovative software-as-a-service platform that enables life sciences companiesto significantly transform patient engagement in clinicaltrialsand improve adherence to protocols,aswell as theefficiency and accountability of clinical trials."
Constant Currency,The basis for restating the current period's revenue growthaftereliminating the impactof movementsin exchange rates during the period.
Contextual Knowledge,"This is tacit knowledge pertaining to, and specific to,the granular nuances of a customer's business and IT landscape,acquired on the job over a period of time. TCSteams use their contextual knowledge to design technologysolutions thatare uniquely tailored for that customer,andtherefore,a potential source of competitive differentiation."
CPG,Acronym for Consumer Packaged Goods
Core Banking System,"A back-end system that processes daily bankingtransactions and posts updates to accounts and otherfinancial records; typically includes deposit, loan and creditprocessing capabilities,with interfaces to general ledgersystems and reporting tools."
Core Transformation,"Modernization initiatives that target the one or moreelements of the organization'soperations stack consistingof business processes,software systemsand underlyinginfrastructure,usually to enable greateragility, scalability,resilience and a superior customer experience. These aretypically large in scaleand scope,and entail the integrateddelivery of multiple capabilities."
Cyber Security,"Technologies,processes and practices designed to protectnetworks, computers,programs and data from attack,damage or unauthorized access."
Days' Sales Outstanding(DSO),A popular way of depicting the Trade Receivable relative tothe company's Revenue.DSO = Trade Receivable * 365 / LTM Revenue
Depreciation,A method of allocating the cost of a tangible long-termasset over its useful life. It is a non-cash accounting entryfound in the statement of profit and loss.
DevOps,"Representsa new way of working to rapidly deploy newreleases of a software in production using high levels ofautomation and tooling. TCS recommends adoption ofDevOps,along with Agile for speed to market."
Digital,"Represents new age technologies such as Social Media,Mobility, Analytics,Big Data, Cloud, Artificial Inteligenceand Internet of Things. Increasingly,with these technologiesbecoming mainstream,this word is becoming redundant."
