,"Note As at March 31, 2020","As at March 31, 2019"
ASSETS,,
Non-current assets,,
"Property, plant and equipment",8（a),"9,835 9,522"
Capital work-in-progress,,781 834
Right-of-use assets,7,"6,048 -"
Intangible assets,8（b),239 139
Financial assets,,
Investments,6(a),"2,189 2,189"
Trade receivables,6(b),74 95
Unbilled receivables,,324 387
Loans receivables,6(e),2 2
Other financial assets,6（f),624 565
Income tax assets (net),,"2,020 3,598"
Deferred tax assets (net),15,"2,219 2,097"
Other assets,8（c）,"1,426 1,040"
Total non-current assets,"25,781","20,468"
