,"As at March 31, 2020","As at March 31,2019"
Trade receivables,98,627
Tata America International Corporation Tata Consultancy Services Sverige AB,650,362
Tata Consultancy Services France SA,900,710
Tata Consultancy Services Netherlands BV,727,233
Tata Consultancy Services Asia Pacific Pte Ltd.,635,245
Jaguar Land Rover Limited,209,362
Trade payables Tata America International Corporation,"1,314",
"Tata Consultancy Services De Mexico S.A.,De C.V.",402,"1,413"
Unbilled receivables and contract assets,,284
Diligenta Limited,311,173
