"Asat March 31, 2020",Assets,Liabilities,Net
"Deferred tax assets/(liabilities) in relation to Property, plant and equipment and Intangible",225,63,162
assets Provision for employee benefits,468,,468
Cash flow hedges,7,,7
"Receivables, financial assets at amortised cost",327,,327
MAT credit entitlement,"1,049",,"1,049"
Branch profit tax,,284,(284)
Unrealised gain on securities carried at,(483),,(483)
fair value through profit or loss/other comprehensive income,,,
Lease liabilities,308,,308
Others,318,,318
Total deferred tax assets /(liabilities),"2,219",347,"1,872"
