As at,As at,"Mar 31, 2020","Mar 31, 2019"
Considered good,,Contract assets,"4,292"
Considered good,,Prepaid expenses,"1,498"
Considered good,,Prepaid rent,15
Considered good,,Contract fulfillment costs,621
Considered good,,Advance to suppliers,136
Considered good,,Advance to related parties,11
Considered good,,Indirect taxes recoverable,"1,374"
Considered good,,Other advances,130
Considered good,,Others,129
Considered doubtful,,Advance to suppliers,3
Considered doubtful,,Indirect taxes recoverable,2
Considered doubtful,,Other advances,3
Considered doubtful,,Allowance on doubtful assets,-8
Considered good,,Advance to related parties,"8,206"
Considered good,,The Titan Company Limited,3
Considered good,,Tata AIG General Insurance Company Limited,
Considered good,,Tata AIA Life Insurance Company Limited,1
Considered good,,Tata Sons Private Limited,7
