,"YearendedMarch31,2019 Subsidiaries of Tata Associates /joint ventures of Tata","YearendedMarch31,2019 Subsidiaries of Tata Associates /joint ventures of Tata","YearendedMarch31,2019 Subsidiaries of Tata Associates /joint ventures of Tata","YearendedMarch31,2019 Subsidiaries of Tata Associates /joint ventures of Tata","YearendedMarch31,2019 Subsidiaries of Tata Associates /joint ventures of Tata","YearendedMarch31,2019 Subsidiaries of Tata Associates /joint ventures of Tata"
,Tata Sons Private Limited,Subsidiaries of the Company Sons Private Limited,Sons Private Limited and their subsidiaries,,Other related,Total
Revenue,27,"15,999",266,"2,215",parties,"18,507"
Dividend income,-,"3,571",,-,,"3,571"
Rent income,,,,,,7
Other income,,,,,,38
Purchases of goods and services (including,,"8,178",415,369,,"8,963"
reimbursements),,,,,,
Brand equity contribution,101,,,,,101
Facility expense,,,37,15,,53
"Bad debts and advances written off,allowance for doubtful trade receivables and advances (net)",,,(7),-,,(7)
Contribution and advance to post employment benefit plans,,,,-,816,816
"Purchase of property,plant and equipment",,,2,48,,50
Loans and advances given,,6,2,1,,9
Loans and advances recovered,,1,,了,,4
Dividend paid,"7,254",,了,-,,"7,257"
Guarantees given,,13,,,,13
Buy-back of shares,"10,455",,4,,,"10,459"
Cost recovery,,"2,302",,,,"2,302"
Issue of bonus sharesl,-,,,,,
