Note,"Year ended March 31, 2020","Year ended March 31, 2019"
Revenue,"156,949","146,463"
Other income,"4,592","4,311"
TOTAL INCOME,,"161,541"
Employee benefit expenses,"85,952","78,246"
Cost of equipment and software licences,"1,905","2,270"
Depreciation and amortisation expense,,"3,529"
Other expenses,"26,983","26,441"
Finance costs,924,198
TOTAL EXPENSES,,"119,293"
PROFIT BEFORE TAX,,"42,248"
Current tax,"10,378","9,502"
Deferred tax,-577,499
TOTAL TAX EXPENSE,,"9,801"
PROFIT FOR THE YEAR,,"32,447"
Items that will not be reclassified subsequently to profit or loss,Remeasurement of defined employee benefit plans,-429
,Net change in fair values of investments in equity shares carried at fair value through OCI,-20
,Income tax on items that will not be reclassified subsequently to profit or loss,
,Net change in intrinsic value of derivatives designated as cash flow hedges,-94
