"Proceeds from disposal of property, plant and equipment Interest received",,(crore)
"Proceeds from disposal of property, plant and equipment Interest received","Yearended March31,2020","Yearended March31,2019"
"Proceeds from disposal of property, plant and equipment Interest received",161,99
"Proceeds from disposal of property, plant and equipment Interest received",,"3,729 2,619"
"Proceeds from disposal of property, plant and equipment Interest received",Dividend received,8 18
"Proceeds from disposal of property, plant and equipment Interest received","Net cash generated from investing activities 8,565","1,596"
"Proceeds from disposal of property, plant and equipment Interest received",CASHFLOWSFROMFINANCINGACTIVITIES,
"Proceeds from disposal of property, plant and equipment Interest received",,"(16,000) (45)"
Buy-back of equity shares Expenses for buy-back of equity shares,,
Short-term borrowings (net),,
,(181),
Dividend paid (including tax on dividend) Dividend paid to non-controlling interests (including tax on,"(37,634) (11,424)",
,(68) (48),
dividend) Purchase of non-controlling interests,(227),
Repayment of lease liabilities,"(1,062)",= (13)
Interest paid,(924),(186)
Net cash used in financing activities,"(39,915)",
Net change in cash and cash equivalents,,"(27,897)"
Cash and cash equivalents at the beginning of the year,"1,019","2,292"
Exchange difference on translation of foreign currency cash and,"7,224","4,883"
,403,49
cash equivalents,,
Cash and cash equivalents at the end of the year (Refer note 8(c)),"8,646","7,224"
