Note,"Year ended March 31, 2020","Year ended March 31, 2019"
Revenue,12,146463
Other income,13,4311
TOTAL INCOME,161541,150774
Employee benefit expenses,14,78246
Cost of equipment and software licences,15(a),2270
Depreciation and amortisation expense,15(a),2056
Other expenses,15(b),26441
Finance costs,16,198
TOTAL EXPENSES,119293,109211
PROFIT BEFORE TAX,42248,41563
Current tax,17,9502
Deferred tax,17,499
TOTAL TAX EXPENSE,9801,10001
PROFIT FOR THE YEAR,32447,31562
Items that will not be reclassified subsequently to profit or loss,Remeasurement of defined employee benefit plans,"Net change in fair values of investments in equity shares carried at fair value through OCI,Income tax on items that will not be reclassified subsequently to profit or loss,Net change in fair values of investments other than equity shares carried at fair value through OCI,Net change in intrinsic value of derivatives designated as cash flow hedges"
(429),(51),"90,425,153"
(20),(1),"90,425,153"
(94),11,"90,425,153"
