Note,"Year ended March 31, 2020","Year ended March 31, 2019"
Net change in time value of derivatives designated as cash flow hedges,-52,44
Exchange differences on translation of financial statements of foreign operations,326,-86
Income tax on items that will be reclassified subsequently to profit or loss,-315,-171
TOTAL OTHER COMPREHENSIVE INCOME / (LOSSES),464,324
TOTAL COMPREHENSIVE INCOME FOR THE YEAR,32911,31886
Profit for the year attributable to:,,
Shareholders of the Company,32340,31472
Non-controlling interests,107,90
Total comprehensive income for the year attributable to:,,
Shareholders of the Company,32447,31562
Non-controlling interests,32764,31787
Earnings per equity share: - Basic and diluted (₹),,
Weighted average number of equity shares,3752384706,3789749350
