In numbers Currency Face Investmentsvalue pershare,In numbers Currency Face Investmentsvalue pershare,"AsatMarch 31, 2020","AsatMarch 31, 2020","AsatMarch 31, 2020","AsatMarch 31, 2020","AsatMarch 31, 2020","AsatMarch 31, 2020","As atMarch 31,2019",,,,,
"Fully paidequity shares(unquoted)1,00,00,000 USD 1Mozido LLC15 USD 5,00,000FCM LLC","Fully paidequity shares(unquoted)1,00,00,000 USD 1Mozido LLC15 USD 5,00,000FCM LLC",75,75,75,75,75,75,6952196(88)58,,,,,
"Fully paidequity shares(unquoted)1,00,00,000 USD 1Mozido LLC15 USD 5,00,000FCM LLC","Fully paidequity shares(unquoted)1,00,00,000 USD 1Mozido LLC15 USD 5,00,000FCM LLC",75,75,75,75,75,75,6952196(88)58,,,,,
"Fully paidequity shares(unquoted)1,00,00,000 USD 1Mozido LLC15 USD 5,00,000FCM LLC","Fully paidequity shares(unquoted)1,00,00,000 USD 1Mozido LLC15 USD 5,00,000FCM LLC",55,55,55,55,55,55,6952196(88)58,,,,,
"1,90,00,000 INR 10Taj Air Limited","1,90,00,000 INR 10Taj Air Limited",19,19,19,19,19,19,6952196(88)58,,,,,
"5,00,000 PHP 100Philippine","5,00,000 PHP 100Philippine",7,7,7,7,7,7,6952196(88)58,,,,,
Dealing,Dealing,7,7,7,7,7,7,6952196(88)58,,,,,
System,System,,,,,,,,,,,,
Holdings,Holdings,,,,,,,,,,,,
,Corporation,,,,,,,,,,,,
,Less:,(114),(114),(114),(114),(114),(114),,,,,,
,Impairment,(114),(114),(114),(114),(114),(114),,,,,,
in value of,in value of,,,,,,,,,,,,
investments,investments,,,,,,,,,,,,
investments,investments,42,42,42,42,42,42,,,,,,
