Fair value through profit or loss,Fair value through other comprehensive income,Derivative instruments in hedging relationship,Derivative instruments not in hedging relationship,Amortised cost,(crore) Total carrying value
,,,,,"8,646,8,646"
Bank deposits,,,,,"1,153,1,153"
Earmarked balances with banks,,,,216,216
Investments,"1,692","24,464",,,"200,26,356"
Trade receivables,,,,,"30,606,30,606"
Unbilled receivables,,,,,"6,056,6,056"
Loans receivables,,,,,"8,504,8,504"
Other financial assets,,,146,279,"1,883,2,308"
Total,"1,692","24,464",146,279,"57,264,83,845"
Trade payables,,,,,"6,740,6,740"
Lease liabilities,,"■ 34,■ 659","34,659","5,698","6,391"
Other financial liabilities,,,,"20,612","21,305"
