Name of the Statute,Nature ofthe Dues,Amount( in crore）**,Period,Forum where dispute is pending
"The Income-tax Act,1961",Income-tax,"1,222","Assessment Year - 2007-08,201-12,2015-16",Commissioner of Income Tax (Appeals)
"The Income-tax Act,1961",Income-tax,193,Assessment Year- 2006-07,Income-Tax Appellate Tribunal
"The Central Sales TaxAct,1956 and ValueAdded Tax Act",Sales tax andVAT,218,"Financial Year - 1994-1995,2001-2002,2002-2003,2003-2004,2004-2005,2005-2006,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016",High Court
"The Central Sales TaxAct,1956 and ValueAdded Tax Act",Sales tax andVAT,8,"Financial Year - 1990-1991,2002-2003,2003-2004,2004-2005,2005-2006,2006-2007,2011-2012,2012-2013",Tribunal
"The Central Sales TaxAct,1956 and ValueAdded Tax Act",Sales tax andVAT,*,"Financial Year - 1995-1996,1997-1998,2004-2005,2005-2006,2011-2012",Assistant Commissioner
"The Central Sales TaxAct,1956 and ValueAdded Tax Act",Sales tax andVAT,5,"Financial Year - 1994-1995,2005-2006,2008-2009,2010-2011, 2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017",Deputy Commissioner
"The Central Sales TaxAct,1956 and ValueAdded Tax Act",Sales tax andVAT,9,"Financial Year - 1997-1998,2005-2006,2013-2014,2014-2015,2015-2016, 2016-2017",Joint Commissioner
"The Central Sales TaxAct,1956 and ValueAdded Tax Act",Sales tax andVAT,-*,Financial Year-2007-2008,Additional Commissioner
"The Central Sales TaxAct,1956 and ValueAdded Tax Act",Sales tax andVAT,*,Financial Year-2012-2013,Commissioner
"The Finance Act,1994",Service tax,-*,"Financial Year - 2002-2003, 2003-2004,2004-2005",Commissioner Appeals
"The Finance Act,1994",Service tax,207.49,"Financial Year - 2006-2007, 2007-2008,2009-2010,2010-2011,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018",Tribunal
