Name of the entity,Country of incorporation,"%of voting power as at March 31, 2020","% of voting power as at March 31, 2019","Net assets,i.e.total assets minus total liabilities","Net assets,i.e.total assets minus total liabilities",Share in profit or loss,Share in profit or loss,Share in other comprehensive income,Share in other comprehensive income,Share in total comprehensive income,Share in total comprehensive income
,,,,As% of consolidated net assets,Amount ( crore),As %of consolidated profit or loss,Amount ( crore),As % of consolidated other comprehensive,Amount ( crore),As %of total comprehensive income,Amount ( crore)
Tata Consultancy Services Chile S.A.,Chile,100.00,100.00,0.39,352,0.05,18,income,,0.05,18
Technology Outsourcing S.A.C.,Peru,100.00,100.00,0.02,20,0.02,8,,,0.02,8
TATASOLUTION CENTER S.A.,Ecuador,100.00,100.00,0.07,59,(0.08),(21),4.31,6,(0.05),(15)
Trusts,India,-,,0.26,263,0.02,7,,,0.02,7
TOTAL,,,,100.00,"90,725",100.00,"37,109",100.00,140,100.00,"37,249"
a）Adjustments arising out of consolidation,,,,,"(5,976)",,"(4,662)",,324,,"(4,338)"
b）Non-controlling interests Indian subsidiaries,,,,,,,,,,,
,,,,,(11),,(3),,,,
APTOnline Limited MP Online Limited,,,,,（10）,,(2),,,,(3) (2)
C-Edge Technologies Limited,,,,,（(116),,(39),,,,(39)
MahaOnline Limited,,,,,(19),,(5),,,,(5)
Foreign subsidiaries,,,,,,,,,,,
"Tata Consultancy Services (China) Co.,Ltd.",,,,,(11)）,,2,,了,,5
"Tata Consultancy Services Japan,Ltd.",,,,,(456),,(60）,,(43),,（103）
TOTAL,,,,,(623),,(107),,(40),,(147)
TOTAL,,,,,"84,126",,"32,340",,424,,"32,764"
