Opening balance,Recognised in profit and loss,Recognised in / reclassified from other comprehensive income,Closing balance
Deferred tax assets / (liabilities) in relation to,"Property, plant and equipment and intangible assets",97,"65,162"
Provision for employee benefits,368,100,468
Cash flow hedges,(12),19,7
"Receivables, financial assets at amortised cost",284,43,327
MAT credit entitlement,"1,157",(108),"1,049"
Branch profit tax,(299),15,(284)
Unrealised gain on securities carried at fair value through profit or loss / other comprehensive income,(149),(334),(483)
Lease liabilities*,235,73,308
Others,225,93,318
Total deferred tax assets / (liabilities),"1,905",281,"(315),1,872"
