(crore) Note,(crore) Note,(crore) Note
,"Year ended March31,22","Yearended March31,2019"
Net change in time value of derivatives designated as cash flow hedges,(52),44
Exchange differences on translation of financial statements of foreign operations,326,(86)
Income tax on items that will be reclassified subsequently to profit or loss,(315),(171)
TOTAL OTHER COMPREHENSIVE INCOME/(LOSSES),464,324
TOTAL COMPREHENSIVE INCOME FOR THE YEAR,"32,911","31,886"
Profit for the year attributable to: Shareholders of the Company,"32,340","31,472"
Non-controlling interests,10Z,90
Total comprehensive income for the year attributable to: Shareholders of the Company,"32,447 32,764","31,562 31,787"
Non-controlling interests,"147 32,911","99 31,886"
