As at,As at,"Mar 31,2020","Mar 31,2019"
Considered good,,Contract assets,145
Considered good,,Prepaid expenses,737
Considered good,,Prepaid rent,-
Considered good,,Contract fulfillment costs,186
Considered good,,Capital advances,50
Considered good,,Advances to related parties Others,36
Considered good,,Others,272
Considered good,,,"1,426"
"Advances to related parties, considered good, comprise:",,Voltas Limited,3
"Advances to related parties, considered good, comprise:",,Tata Realty and Infrastructure Ltd*,-
"Advances to related parties, considered good, comprise:",,Concorde Motors (India) Limited,-
"Advances to related parties, considered good, comprise:",,Tata Projects Limited,33
