"Year ended,Mar 31, 2020","Current tax,Current tax expense for current year",9730,10024,Current tax expense / (benefit) pertaining to prior years,648,-522,,
"Year ended,Mar 31, 2019","Current tax,Current tax expense for current year",9730,10024,Current tax expense / (benefit) pertaining to prior years,648,-522,,
"Year ended,Mar 31, 2020",,10378,9502,,,,,
"Year ended,Mar 31, 2019",,10378,9502,,,,,
"Year ended,Mar 31, 2020","Deferred tax,Deferred tax expense for current year",899,607,Deferred tax benefit pertaining to prior years,-1476,-108,,
"Year ended,Mar 31, 2019","Deferred tax,Deferred tax expense for current year",899,607,Deferred tax benefit pertaining to prior years,-1476,-108,,
"Year ended,Mar 31, 2020",,577,499,,,,,
"Year ended,Mar 31, 2019",,577,499,,,,,
"Year ended,Mar 31, 2020",,9801,10001,,,,,
"Year ended,Mar 31, 2019",,9801,10001,,,,,
