As at,As at,"March 31, 2020","March 31, 2019"
Capital reserve,,75,75
Capital redemption reserve,,431,529
(i),Opening balance,,431
(ii),Transfer from retained earnings*,-,8
(iii),Issue of bonus shares*,-,(106)
,,431,431
General reserve,,27,"1,423"
(i),Opening balance,27,"1,423"
(ii),Transfer to retained earnings,-,"(1,396)"
,,27,27
Special Economic Zone re-investment reserve,,994,"1,578"
(i),Opening balance,994,"1,578"
(ii),Transfer from retained earnings,"2,947","2,750"
(iii),Transfer to retained earnings,"(2,347)","(3,334)"
,,"1,594",994
Retained earnings,,"85,520","79,755"
(i),Opening balance,"85,520","79,755"
(ii),Transition impact of Ind AS 116,(357),-
(Refer note 9),,,
(iii),Profit for the year,"32,340","31,472"
(iv),Remeasurement of defined employee benefit plans,(339),(41)
