Month,High (₹),Low (₹),Total number of equity shares traded,High (₹),Low (₹),Total number of equity shares traded
Apr-2019,"2,260.35","2,014.50",67,089,639,"2,254.95,2,013.75,3,232,471"
May-2019,"2,215.40","2,048.00",60,480,346,"2,214.40,2,049.65,2,859,620"
Jun-2019,"2,277.95","2,166.10",46,280,351,"2,279.00,2,167.40,2,060,686"
Jul-2019,"2,252.10","2,065.95",60,441,617,"2,252.75,2,065.60,4,300,813"
Aug-2019,"2,276.30","2,163.00",44,449,609,"2,275.10,2,163.50,2,088,400"
Sep-2019,"2,251.60","2,015.80",56,752,600,"2,252.25,2,014.75,2,349,328"
Oct-2019,"2,269.65","1,986.85",73,272,420,"2,270.20,1,987.05,2,513,926"
Nov-2019,"2,201.85","2,046.65",59,754,775,"2,202.05,2,046.90,2,341,916"
Dec-2019,"2,231.70","2,012.85",86,634,118,"2,232.45,2,012.50,3,728,749"
Jan-2020,"2,255.25","2,079.05",63,370,917,"2,255.05,2,079.30,2,460,473"
Feb-2020,"2,215.75","2,000.15",50,645,330,"2,215.30,2,000.95,2,264,640"
Mar-2020,"2,125.05","1,636.35",115,641,660,"2,124.90,1,636.10,5,405,600"
