As at,As at,Mar 31, 2020,Mar 31, 2019
Capital reserve#,Capital reserve#,-,-,,
Capital redemption reserve,,-,8,106,
(i) Opening balance,8,-,106,8,
(ii) Transfer from retained earnings,-,8,-,8,
(iii) Issue of bonus shares*,,-,(106),8,
,-,8,8,,
Special Economic Zone re-investment reserve,Special Economic Zone re-investment reserve,994,1,578,
(i) Opening balance,994,1,578,,
(ii) Transfer from retained earnings,2,947,2,750,
(iii) Transfer to retained earnings,-,(2,347),-(3,334)
,-,1,594,994,
Retained earnings,Retained earnings,77,159,74,"080,"
(i) Opening balance,77,159,74,080,
(ii) Transition impact of Ind AS 116 (Refer note 7),-(330),-,,,
(iii) Profit for the year,33,260,30,065,
(iv) Remeasurement of defined employee benefit plans,-(323),-(14),,,
(v) Utilised for buy-back of equity shares*,,-,(15,992),
(vi) Expense relating to buy-back of equity shares*,,-,(45),,
(vii) Issue of bonus shares*,,-,(86),,
(viii) Realised loss on equity shares carried at fair value through OCI,-,-,(1),,
