Business Process Services,"Designing,enabling,and executing business operationsincluding data management,analytics, interactions andexperience management."
Buyback,A corporate action in which a company returns excesscash to shareholders by buying back its shares from themand usually extinguishing those shares thereafter. Thecompany's equity share capital and the number of shares outstanding in the market correspondingly reduces.
CAGR,See Compounded Annual Growth Rate
Capital Expenditure(CapEx),"Funds used by a company to acquire, upgrade,and maintain physical assets such as property, buildings,anindustrial plant, technology,or equipment."
Cash and Cash Equivalents,"Cash comprises cash on hand and demand / time/fixeddeposits.Cash equivalentsare short-term, highly liquidinvestments that are readily convertible to known amountsof cash and which are subject to an insignificant risk ofchanges in value. Cash and cash equivalentsare held forthe purpose of meeting short-term cash commitmentsrather than for investment or other purposes."
Cash Flow,Inflows and outflows of cash and cash equivalents.
Cash Flow from OperatingActivities,"Primarily derived from the principal revenue producingactivities. Therefore,they generally result from thetransactionsand other events that enter into thedetermination of profit or loss."
CBO,See Cognitive Business Operations
Cc,See Constant Currency
Chatbots,"Computer programs designed to simulate conversationwith human users,especially over the internet. They aretypically used in dialog systems for various practicalpurposes like customer service or information acquisition."
Cloud,See Cloud Computing
Cloud Computing,"The delivery of easily provisionable computing resources - servers,storage,databases, networking,software,analyticsand more - over the internet, consumed on a pay-as-you- go basis."
CMT,"Acronym for Communication, Media and Technology"
Cognitive Automation,The use of Al and machine learning to automate relativelymore complex tasks that require reasoning capability andcontextual awareness. TCS' ignioTM a leading cognitiveautomation software product in the market today.
Cognitive BusinessOperations (CBO),"An integrated offering where TCS takes responsibility fortheoutcome of an entire slice of the customers'operationsincluding the business processes and the underlying ITinfrastructure,and uses cognitive automation to transformthat operational stack."
Cognitive Computing,See Artificial Intelligence
COIN,See Co-Innovation Network
Co-lnnovation Network,"This is an extended, global innovation ecosystem curatedby TCS,to harness the innovation efforts of start-ups andacademia,and incorporate them into transformationalsolutions built by TCS for its customers."
