,,,,,,( crore) Total
,Fair value through profit or loss,Fair value through other comprehensive,Derivative instruments in hedging,Derivative instruments not in hedging,Amortised cost,carrying value
Financial assets,,income,relationship,relationship,,
Cash and cash equivalents,,,,,,
Bank deposits,,,,,"3,327","3,327"
,,,,,"5,400","5,400"
Earmarked balances with banks,-,1,,,173,173
Investments (other than in subsidiary),"3,018","24,772",,,490,"28,280"
Trade receivables,=,,,,,
Unbilled receivables,,,,,"24,124","24,124"
,,,,,"4,776","4,776"
Loans receivables,,,,,"7,020","7,020"
Other financial assets,,,237,347,"1,594","2,178"
Total,"3,018","24,772",237,347,"46,904","75,278"
Financial liabilities,,,,,,
Trade payables,,,,,"7,692","7,692"
Lease liabilities,,,,：,3,33
Other financial liabilities,,,,,,
,,,,59,"3,524","3,583"
Total,,,,,,
,,,,59,"11,249","11,308"
