As at,As at,Considered good,Considered doubtful
March 31, 2020,March 31,"2019,Contract assets,Advance to suppliers"
,3,341,"2,723,3"
,1,381,"344,3"
,4,35,3
,396,468,3
,75,79,3
,11,8,3
,1,131,"962,3"
,114,123,3
,85,51,3
,Advance to suppliers,Indirect taxes recoverable,"Other advances,Allowance on doubtful assets"
,3,2,"3,8"
,6,538,"4,793,8"
,Advance to related parties,Indirect taxes recoverable,"Other advances,Allowance on doubtful assets"
,3,2,"3,8"
,6,538,"4,793,8"
,Advance to related parties,considered good comprise:,"TCS e-Serve International Limited,The Titan Company Limited,Tata AIG General Insurance Company Limited,Tata AIA Life Insurance Company Limited,Tata Sons Private Limited"
,-,3,"-,1,1,7"
,7,1,"-,1,-,-"
