Name of the entity,Country of incorporation,"%of voting power as at March 31, 2020","%of voting power as at March 31, 2019","Net assets,i.e. total assets minus total liabilities","Net assets,i.e. total assets minus total liabilities",Share in profit or loss,Share in profit or loss,Share in other comprehensive income,Share in other comprehensive income,Share in totalcomprehensive income,Share in totalcomprehensive income
,,,,As%of consolidated net assets,Amount ( crore),As %of consolidated profit or loss,Amount ( crore),As %of consolidated other comprehensive,Amount ( crore),As %of total comprehensive income,Amount ( crore)
Tata Consultancy Services Danmark ApS,Denmark,100.00,100.00,0.01,5,,1,income,,,1
Tata Consultancy Services De Espana S.A.,Spain,100.00,100.00,0.04,39,0.03,12,,,0.03,12
"Tata Consultancy Services (Portugal) Unipessoal, Limitada",Portugal,100.00,100.00,,-,0.01,了,,,0.01,了
Tata Consultancy Services France SA,France,100.00,100.00,(0.45),(404),-,(1),1.43,2,,1
Tata Consultancy Services Saudi Arabia,Saudi Arabia,76.00,76.00,0.28,250,0.16,58,(0.01),,0.16,58
"TCS Business Services GmbH (w.e.f. March 9,2020)",Germany,100.00,-,,·,-,：,,,,-
Tata Consultancy Services (South Africa) (PTY) Ltd.,South Africa,100.00,100.00,0.07,66,0.07,27,,,0.07,27
"TCS Financial Solutions Beijing Co,Ltd. TCS Financial Solutions Australia Holdings Pty",China,100.00,100.00,0.03,26,0.02,9,,,0.02,9
"Limited (w.e.f. January 29,2020)",Australia,,100.00,-,,0.20,73,,,0.20,73
TCS Financial Solutions Australia Pty Limited,Australia,100.00,100.00,0.11,100,0.13,48,,,0.13,48
TCS Solution Center S.A.,Uruguay,100.00,100.00,0.28,250,0.31,117,,,0.31,117
TCS Uruguay S.A. Tata Consultancy Services Argentina S.A.,Uruguay,100.00,100.00,0.10,91,0.34,126 （10）,,,0.34 (0.03),126
Tata Consultancy Services Do Brasil Ltda,Argentina,100.00 100.00,100.00,0.01,6,(0.03),,,,0.08,(10)
"Tata Consultancy Services De Mexico S.A., De C.V.",Brazil Mexico,100.00,100.00 100.00,0.17,152,0.08 0.49,30 184,,,0.49,30
MGDC S.C.,,100.00,,0.80,722,,5,(6.43),（9),(0.01),184
,Mexico,,100.00,0.19,168,0.01 0.24,88,,,0.24,(4)
TCS Inversiones Chile Limitada,Chile,100.00,100.00,0.31,285,,,,,,88
