Particulars,Aarthi Subramanian
Date of Birth,"June 26, 1967"
Date of Appointment,"March 12, 2015"
Qualifications,B. Tech in Computer Science
Qualifications,Master's Degree in Engineering Management
Expertise in specific functional areas,Wide experience in Information Technology
Directorships held in other companies,Tata Industries Limited
Directorships held in other companies,Tata Capital Limited
Directorships held in other companies,Tata AIA Life Insurance Company Limited
Directorships held in other companies,Tata Digital Limited
Directorships held in other companies,Tata Payments Limited
Memberships / Chairmanships of committees of other companies,Tata Capital Limited
Memberships / Chairmanships of committees of other companies,Stakeholders' Relationship Committee (Chairperson)
Memberships / Chairmanships of committees of other companies,Corporate Social Responsibility Committee
Memberships / Chairmanships of committees of other companies,Information Technology Strategy Committee
Number of shares held in the Company,5600
