"Year ended March 31, 2020",Domestic plans Funded,Domestic plans Unfunded,Foreign plans Funded,Foreign plans Unfunded,Total
"Year ended March 31, 2019",Domestic plans Funded,Domestic plans Unfunded,Foreign plans Funded,Foreign plans Unfunded,Total
"2,672",,532,,,"3,204"
-,-,41,,,41
30,,,,,30
235,,9,,,244
766,,17,,,783
-,-,9,,,9
(171),,(10),,,(181)
111,,29,,,140
"3,643",,627,,,"4,270"
"2,433",,529,,,"2,962"
-,-,(3),,,(3)
-,-,-,-,,
193,,7,,,200
171,,15,,,186
-,-,9,,,9
(147),,(14),,,(161)
22,,(11),,,11
"2,672",,532,,,"3,204"
