Sr.NO.,Category of shareholders,"No.of shares heldatthe beginningof the year April1,2O19 No.ofshares heldatthe endofthe year March 31,2020","No.of shares heldatthe beginningof the year April1,2O19 No.ofshares heldatthe endofthe year March 31,2020","No.of shares heldatthe beginningof the year April1,2O19 No.ofshares heldatthe endofthe year March 31,2020","No.of shares heldatthe beginningof the year April1,2O19 No.ofshares heldatthe endofthe year March 31,2020","No.of shares heldatthe beginningof the year April1,2O19 No.ofshares heldatthe endofthe year March 31,2020","No.of shares heldatthe beginningof the year April1,2O19 No.ofshares heldatthe endofthe year March 31,2020","No.of shares heldatthe beginningof the year April1,2O19 No.ofshares heldatthe endofthe year March 31,2020","No.of shares heldatthe beginningof the year April1,2O19 No.ofshares heldatthe endofthe year March 31,2020",%
Sr.NO.,Category of shareholders,Demat,Physical,Total,% of total Shares,Demat,Physical,Total,% of totalShares,Changeduringthe year
(A),Promoters and Promoter Group,Promoters and Promoter Group,Promoters and Promoter Group,Promoters and Promoter Group,Promoters and Promoter Group,Promoters and Promoter Group,Promoters and Promoter Group,Promoters and Promoter Group,Promoters and Promoter Group,Promoters and Promoter Group
1),Indian,Indian,Indian,Indian,Indian,Indian,Indian,Indian,Indian,Indian
(a),Individuals /HUF,,,,,,,,,
(b),Central Government/State Government(s),,,,,,,,,
（c）,Bodies Corporate,"2,703,542,000",,"2,703,542,000",72.0,"2,703,542,000",=,"2,703,542,000",72.0,
(d）,Financial Institutions /Banks,,,,,,,,,
(e),Other- Trust,■,,,,,,-,-,
Sub-,Sub-Total (A) (1),"2,703,542,000",,"2,703,542,000",72.0,"2,703,542,000",,"2,703,542,000",72.0,
(2),Foreign,Foreign,,,,,,,,
(a),Individuals (Non- Resident Individuals/Foreign Individuals),,,,,,,,,
(b),Bodies Corporate,,,,,,,,,
（c）,Institutions,,,,,,,,,
(d）,Qualified Foreign Investor,,,,,,,,,
（e）,Any Other (specify),,,,,,,,,
Sub-Total (A) (2),Sub-Total (A) (2),·,,,,,,,,
Total Shareholding of Promoter and Promoter Group (A),Total Shareholding of Promoter and Promoter Group (A),"2,703,542,000",,"2,703,542,000",72.0,"72.0|2,703,542,000",,"2,703,542,000",72.0,
Sr.No.,Category of shareholders,"No. of sharesheldat the beginning of the year April1,2O19 No.ofshares heldattheendof the yearMarch 31,2020","No. of sharesheldat the beginning of the year April1,2O19 No.ofshares heldattheendof the yearMarch 31,2020","No. of sharesheldat the beginning of the year April1,2O19 No.ofshares heldattheendof the yearMarch 31,2020","No. of sharesheldat the beginning of the year April1,2O19 No.ofshares heldattheendof the yearMarch 31,2020","No. of sharesheldat the beginning of the year April1,2O19 No.ofshares heldattheendof the yearMarch 31,2020","No. of sharesheldat the beginning of the year April1,2O19 No.ofshares heldattheendof the yearMarch 31,2020","No. of sharesheldat the beginning of the year April1,2O19 No.ofshares heldattheendof the yearMarch 31,2020","No. of sharesheldat the beginning of the year April1,2O19 No.ofshares heldattheendof the yearMarch 31,2020",%
Sr.No.,Category of shareholders,Demat,Physical,Total,% of totalShares,Demat,Physical,Total,% of totalShares,Changeduringthe year
B),Public Shareholding,Public Shareholding,Public Shareholding,Public Shareholding,Public Shareholding,Public Shareholding,Public Shareholding,Public Shareholding,Public Shareholding,Public Shareholding
1,Institutions,Institutions,Institutions,Institutions,Institutions,Institutions,Institutions,Institutions,Institutions,Institutions
@,Mutual Funds / UTI,"93,354,218",3.450,"93,357,668",2.5,"95,695,453",3.350,"95,698.803",2.6,0.1
b),Financial Institutions/Banks,"707,232",5.110,712.342,-,"1,844,729",5.110,"1,849,839",0.1,0.1
（c）,Central Government/State Governments(s),"2,037,771",,"2,037,771",0.1,"2,420,388",-,"2,420,388",0.1,-
(d）,Venture Capital Funds,-,,-,-,-,-,-,-,-
,Insurance Companies,"196,172,807",,"196,172,807",5.2,"200,941,420",-,"200,941,420",5.3,0.1
（f),Foreign Institutional Investors,"4,732.576",,"4,732.576",0.1,"979,740",-,979.740,,（0.1)
（9,Foreign Venture Capital Investors,-,,,,,,,,-
(h),Qualified Foreign Investor,-,,,-,,-,-,,-
①,Foreign Portfolio Investors (Corporate),"588,11025",,"588,110,025",15.7,"589,641,314",-,"589,641,314",15.7,-
i,Any Other (specify),-,■,,-,■,-,-,-,-
Sub-,Sub-Total (B) (1),"885,114,629.0","8,560","885,123,189.0",23.6,"891,523,044","8,460","891,531,504",23.8,0.2
2,Non-Institutions,,,,,,,,,
@,Bodies Corporate,"12,451.882","34,647","12,486.529",0.3,"12,428,282","34,322","12,462,604",0.3,-
(b),Individuals -,,,,,,,,,
i,Individualshareholders holding nominal sharecapital upto1lakh,"114,051,696","1,414,588","115,466,284",3.1,"111,069,357","1,227,023","112,296,380",30,(0.1)
