As at March,,,,,"31, 2020",,,,
Domestic plans,,,,,Domestic plans,,,,
Funded,Unfunded,,,,Funded,Unfunded,,,
5,(8),(163),(37),(42),-,(112),(15),(120),(243)
Foreign plans,,,,,Foreign plans,,,,
Funded,Unfunded,,,,Funded,Unfunded,,,
-,(7),(4),-,(15),-,(97),- (120),(228),
Total,,,,,Total,,,,
As at March,,,,,"31, 2019",,,,
Domestic plans,,,,,Domestic plans,,,,
Funded,Unfunded,,,,Funded,Unfunded,,,
5,(8),(126),(145),(274),-,(7),(4),- (120),(228)
Foreign plans,,,,,Foreign plans,,,,
Funded,Unfunded,,,,Funded,Unfunded,,,
-,-,-,-,-,-,-,-,-,-
