Sr.No.\tTop Ten Shareholders*\tShareholding at the beginning of the year\tApril 1, 2019\tNo. of shares\t% of total shares of the Company\tCumulative shareholding at the end of the year\tMarch 31, 2020\tNo. of shares\t% of total shares of the Company
1.\tLife Insurance Corporation of India\t152,493,"927\t4.1\t152,493,927\t4.1\t157,538,396\t4.2\t157,538,396\t4.2"
2.\tInvesco Oppenheimer Developing Markets Fund\t16,731,"906\t0.4\t16,731,906\t0.4\t28,045,020\t0.8\t28,045,020\t0.8"
3.\tSBI Mutual Fund\t21,680,"561\t0.6\t21,680,561\t0.6\t26,429,597\t0.7\t26,429,597\t0.7"
4.\tAxis Mutual Fund Trustee Limited\t15,244,"614\t0.4\t15,244,614\t0.4\t16,609,800\t0.4\t16,609,800\t0.4"
5.\tGovernment of Singapore\t18,028,"475\t0.5\t18,028,475\t0.5\t16,012,250\t0.4\t16,012,250\t0.4"
6.\tVanguard Total International Stock Index Fund\t13,978,"944\t0.4\t13,978,944\t0.4\t15,772,829\t0.4\t15,772,829\t0.4"
7.\tVanguard Emerging Markets Stock Index Fund, A Series Of Vanguard International Equity Index Funds\t14,"112,213\t0.4\t14,112,213\t0.4\t13,199,846\t0.4\t13,199,846\t0.4"
8.\tICICI Prudential Life Insurance Company Ltd\t16,139,"316\t0.4\t16,139,316\t0.4\t12,868,617\t0.3\t12,868,617\t0.3"
9.\tFirst State Investments Icvc- Stewart Investors Asia Pacific Leaders Fund\t19,248,"438\t0.5\t19,248,438\t0.5\t12,257,728\t0.3\t12,257,728\t0.3"
10.\tWgi Emerging Markets Fund LLC\t10,193,"241\t0.3\t10,193,241\t0.3\t11,243,846\t0.3\t11,243,846\t0.3"
