Year ended March 31, 2019,Tata Sons Private Limited,Subsidiaries of the Company,Subsidiaries of Tata Sons Private Limited,Associates / joint ventures of Tata Sons Private Limited and their subsidiaries,Other related parties,Total
Revenue,27,15999,266,2215,-,18507,
Dividend income,-,3571,-,-,-,3571,
Rent income,-,7,-,-,-,7,
Other income,-,38,-,-,-,38,
Purchases of goods and services (including reimbursements),1,8178,415,369,-,8963,
Brand equity contribution,101,-,-,-,-,101,
Facility expense,1,-,37,15,-,53,
Bad debts and advances written off, allowance for doubtful trade receivables and advances (net),-,,-,-,-,-7
Contribution and advance to post employment benefit plans,-,-,-,-,816,816,
Purchase of property, plant and equipment,-,-,2,48,-,50
Loans and advances given,-,6,2,1,-,9,
Loans and advances recovered,-,1,-,3,-,4,
Dividend paid,7254,-,3,-,-,7257,
Guarantees given,-,13,-,-,-,13,
Buy-back of shares,10455,-,4,-,-,10459,
Cost recovery,-,2302,-,-,-,2302,
Issue of bonus shares,-,-,-,-,-,-,
