SM,Nameof the subsidiary company,Date of becomingsubsidiary,Start date ofaccountingperiod ofsubsidiary,End date ofaccounting period ofsubsidiary,Reportingcurrency,Exchangerate,Sharecapital,Reservesandsurplus,TotalAssets,TotalLiabilities,Investments,Turnover,Profitbeforetax,Provisionfortax,Profitafter tax,Proposeddividend,%ofshareholding,Country
SM,Nameof the subsidiary company,Date of becomingsubsidiary,Start date ofaccountingperiod ofsubsidiary,End date ofaccounting period ofsubsidiary,Reportingcurrency,Exchangerate,,,,crore,crore,crore,crore,crore,crore,crore,%ofshareholding,Country
32,Tata Consultancy Services (South Africa)(PTY)Ltd.,"October 31,2007","April1,2019","March 31,2020",ZAR,4.193326,8,58,301,235,,737,34,10,24,,100%,South Africa
3,TCS FNS Pty Limited,"October 17,2005","April 1,2019","March 31,2020",AUD,46.709352,174,(53),121,,,,70,,70,,100%,Australia
34,TCSFinanciaolutionsBeiingd,"December 29,2006","January 1,2019","December 31,2019",CNY,10.631985,39,(13),64,38,,73,9,,9,,100%,China
35,TCS Financial Solutions Australia Holdings Pty Limited,"October 19,2005","April1,2019","March 31,2020",AUD,46.709352,,,,,,,70,,70,,,Australia
36,TCS Financial Solutions Australia Pty Limited,"October 19,2005","April1,2019","March 31,2020",AUD,46.709352,,100,143,43,34,70,62,16,46,,100%,Australia
37,TCS Iberoamerica SA,"August 9,2004","April1,2019","March 31,2020",USD,75.435000,742,876,1.632,14,1.631,,418,25,393,,100%,Uruguay
38,TCS Solution Center S.A.,"August 9,2004","April 1, 2019","March 31,2020",UYU,1.724504,62,188,411,161,,691,136,34,102,,100%,Uruguay
39,Tata Consultancy Services Argentina S.A.,"August 9,2004","April 1,2019","March 31,2020",ARS,1.171760,6,,40,34,,43,(8),,(8,,100%,Argentina
40,Tata Consultancy Services Do Brasil Ltda,"August 9,2004","January 1, 2019","December 31,2019",BRL,14.522091,255,(103),434,282,,641,20,(5),25,,100%,Brazil
41,Tata ConsultancyServicesDeMexicoSADeCV.,"August ,2004","January1,2019","December 31,2019",MXN,3.138809,,721,"1,171",449,,1.877,257,94,163,,100%,Mexico
42,Tata Consultancy Services Chile S.A.,"August 9,2004","January 1, 2019","December 31,2019",CLP,0.088034,150,202,514,162,59,534,28,12,16,,100%,Chile
43,TCS Inversiones Chile Limitada,"August ,2004","January1,2019","December 31,2019",CLP,0.088034,135,150,302,17,283,28,78,,77,,100%,Chile
44,TATASOLUTION CENTER S.A.,"December 28,2006","January 1,2019","December 31,2019",USD,75.435000,23,36,157,98,,485,(10),14,(24),,100%,Ecuador
45,TCS Uruguay S.A.,"January1,2010","April1,2019","March 31,2020",UYU,1.724504,,91,178,87,,358,126,12,114,,100%,Uruguay
46,MGDC S.C.,"January1,2010","January 1,2019","December 31,2019",MXN,3.138809,,168,354,186,,985,26,23,3,,100%,Mexico
47,Technology Outsourcing S.A.C.,"October 30,2015","January1,2019","December 31,2019",PEN,21.955585,12,8,33,13,,75,8,,8,,100%,Peru
