,"Yearended March31,2019","Yearended March31,2019","Yearended March31,2019","Yearended March31,2019","Yearended March31,2019",
,"Banking, Financial Services and Insurance",Manufacturing,Retail and Consumer Business,"Communication, Media and Technology",Others Total,
Revenue Segment result,"57,938 16,089","15,682 4,311","25,164 6,871","23,925 6,644","23,754 5,554","146,463 39,469"
Total unallocable expenses,,,,,,"2,217"
Operating income,,,,,,"37,252"
Other income,,,,,,
Profitbefore tax,,,,,,4.311
Tax expense,,,,,,"41,563"
Profit for the,,,,,,"10,001"
year,,,,,,"31,562"
Depreciation,35,,,,2,37
and amortisation,,,,,,
expense Depreciation,,,,,,"2,019"
and amortisation,,,,,,
expense,,,,,,
(unallocable),,,,,,
,6,了,,,,
Significant,,,27,27,124,187
non-cash items,,,,,,
(allocable),,,,,,
