,Note,(crore),(crore)
,Note,"Year ended March31,2020","Yearended March31,2019"
Revenue,12,"156,949","146,463"
Other income,13,"4,592","4,311"
TOTAL INCOME,,"161,541","150,774"
Expenses,,,
Employee benefit expenses,14,"85,952","78,246"
Cost of equipment and software licences,15(a),"1,905","2,270"
Depreciation and amortisation expense,,"3,529","2,056"
Other expenses,15(b),"26,983","26,441"
Finance costs,16,924,198
TOTAL EXPENSES,,"119,293","109,211"
PROFIT BEFORETAX,,"42,248","41,563"
Tax expense,,,
Current tax,17,"10,378","9,502"
Deferred tax,17,(577),499
TOTAL TAX EXPENSE,,"9,801",10.001
PROFIT FOR THEYEAR,,"32,447","31,562"
OTHER COMPREHENSIVE INCOME (OCI),,,
Items that will not be reclassified subsequently to,,,
profit or loss Remeasurement of defined employee benefit plans,,,
Net change in fair values of investments in equity,,(429),(51)
shares carried at fair value through OCl,,(20),(1)
Income tax on items that will not be reclassified,,90,
subsequently to profit or loss,,,11
Items that will be reclassified subsequently to profit or,,,
loss,,,
Net change in fair values of investments other than,,958,425
equity shares carried at fair value through OCl,,,
Net change in intrinsic value of derivatives designated,,(94),153
as cash flow hedges,,,
