,Secured Loans excludingdeposits,Unsecured Loans,Deposits,Total Indebtedness
,Note1,Note 2,Note3,Total Indebtedness
Indebtedness at the beginning of the financial year,,,,
D Principal Amount,*,,4,4
i)Interest due but not paid,-,,,-
ii)Interest accrued but not due,-,,,-
Total (i+ii+ii),,,4,4
Change in Indebtedness during the financial year,,,,
· Addition,"14,719",,,"14,719"
· Reduction,"(14,719）",,,"（14,719）"
Net Change,-,,,
Indebtedness at the end of the financial year,,,,
i） Principal Amount,-,,4,4
i)Interest due but not paid,-,,,
ii) Interest accrued but not due,,,,=
Total (i+ii+ii),,,4,4
