Category,Number of equity shares held,Percentage of holding
Promoters,2702450947,72.0
Other Entities of the Promoter Group,1091053,-
Mutual Funds and UTI,95698803,2.6
"Banks, Financial Institutions, States and Central Government",4270227,0.1
Insurance Companies,200941420,5.4
Foreign Institutional Investors and Foreign Portfolio Investors - Corporate,590621054,15.7
NRI's / OCB's / Foreign Nationals,5307647,0.1
Corporate Bodies / Trust,23696580,0.6
Indian Public and Others,126184715,3.4
Alternate Investment Fund,1820360,0.1
IEPF account,301900,-
GRAND TOTAL,3752384706,100.0
