Assets,Liabilities,Net
"As at March 31, 2020 Deferred tax assets/(liabilities) in relation to",279,134
"Property, plant and equipment and intangible assets",279,134
Provision for employee benefits,663,9
Cash flow hedges,7,-
"Receivables,financial assetsat amortised cost",387,(1)
MAT credit entitlement,"1,074",■
Branch profit tax,,284
Undistributed earnings of subsidiaries,,286
Unrealised gain on securities carried at fair value through profit or loss/other comprehensive income,-483,1
Lease liabilities,342,(3)
Others,559,69
Total deferred taxassets/(liabilities),"2,828",779
