(crore),(crore),(crore),(crore)
Investment revaluation reserve,Investment revaluation reserve,"Asat March 31, 2020","Asat March 31, 2019"
(i),Opening balance,192,(84)
(ii),Realised loss on equity shares carried at fair value through OCl,=,1
(i),Change during the year (net),604 796,275 192
Cash flow hedging reserve (Refer note 8(i)),Cash flow hedging reserve (Refer note 8(i)),,
(i) Opening balance (ii) Change during the year (net),(i) Opening balance (ii) Change during the year (net),104 (127),(71) 175
,,(23),104
Foreign currency translation reserve (i) Opening balance,Foreign currency translation reserve (i) Opening balance,"1,380","1,474"
(ii) Change during the year (net),(ii) Change during the year (net),286,(94)
,,"1,666",
,,,"1,380"
,,"83,751",89.071
