Particulars,Regulations,Details,Website link for details/policy
Related party transactions,Regulation 23 of SEBIListing Regulationsand as defined underthe Act,There are no material related party transactions during the year under reviewthat have conflict with the interest of the Company.Transactions entered intowith related parties during FY2O2O were in the ordinary course of business andat arms' length basis and were approved by the Audit Committee.The Board'sapproved policy for related party transactions is uploaded on the website of theCompany.,https://on.tcs.com/RPT
"Details of non - compliance bythe Company,penalty,stricturesimposed on the Company by thestock exchange,or Securities andExchange Board of India ('SEBl)or any statutory authority on anymatter related to capital marketsduring the last three financialyears.",Schedule V (C) 10(b)to the SEBI ListingRegulations,Nil,
Whistle Blower Policy and VigilMechanism,Regulation 22 of SEBlListing Regulations,The Company has a this Policy and has established the necessary vigil mechanismfor directors and employees to report concerns about unethical behavior. Noperson has been denied access to the Chairman of the Audit Committee.The saidpolicy has been uploaded on the website of the Company.,https://on.tcs.com/WhistleBP
Discretionary requirements,Schedule Il Part Eof the SEBI ListingRegulations,"A message from the Chief Executive Officer and Managing Director on thehalf-yearly financial performance of the Company including a summary of thesignificant events in the six month period ended September 30,2O19 was sentto every member in October 2019.The auditors'report on financial statements of the Company are unqualified.Internal auditors of the Company,make quarterly presentations to the auditcommittee on their reports.",
Subsidiary companies,Regulation 24 ofthe SEBI ListingRegulations,The audit committee reviews the consolidated financial statements of theCompany and the investments made by its unlisted subsidiary companies.Theminutes of the Board meetings along with a report on significant developmentsof the unlisted subsidiary companies are periodically placed before the Board ofDirectors of the Company.The Company does not have any material unlisted subsidiary company.The Company has a policy for determining ‘material subsidiaries'which isdisclosed on its website.,https://on.tcs.com/Subsidiary
Policy on Determination ofMateriality for Disclosures,Regulation 30 of SEBIListing Regulations,The Company has adopted this policy.,https://on.tcs.com/Material
Policy on Archival andPreservation of Documents,Regulation 9 of SEBlListing Regulations,The Company has adopted this policy.,https://on.tcs.com/Archival
Reconciliation of Share CapitalAudit Report,"Regulation 76 ofthe Securities andExchange Board ofIndia (Depositoriesand Participants)Regulations,2018and SEBI CircularNo D&CC/FITTC/Cir- 16/2002 datedDecember 31,2002.","A qualified practicing Company Secretary carried out a share capital audit toreconcile the total admitted equity share capital with the National SecuritiesDepository Limited (""NSDL"") and the Central Depository Services (India) Limited(""CDSL"")and the total issued and listed equity share capital.The audit reportconfirms that the total issued/paid-up capital is in agreement with the totalnumber of shares in physical form and the total number of dematerialized sharesheld with NSDL and CDSL.",https://www.tcs.com/corporate-governance
Code of Conduct,Regulation 17 ofthe SEBI ListingRegulations,"The members of the Board and Senior Management Personnel have affirmedcompliance with the Code of Conduct applicable to them during the year endedMarch 31,2O20.The Annual Report of the Company contains a certificate by theChief Executive Oficer and Managing Director,on the compliance declarationsreceived from the members of the Board and Senior Management.",https://www.tcs.com/tata-code-of-conduct
Dividend Distribution Policy,Regulation 43A ofthe SEBI ListingRegulations,"Aregular annual dividend generally consists of three interim dividends after eachof the first three quarters of the fiscal year,topped up with a final dividend afterthe fourth quarter. In addition,every second or third year, the accumulated surpluscash has been returned to shareholders through a special dividend.",https://on.tcs.com/Dividend
Terms of Appointment ofIndependent Directors,Regulation 46 of SEBIListing Regulationsand Section 149 readwith Schedule IV ofthe Act,Terms and conditions of appointment /re-appointment of Independent Directors are available on the Company's website.,https://on.tcs.com/ApptID
Familiarisation Program,Regulations 25(7)and 46 of SEBI ListingRegulations,Details of familiarisation program imparted to Independent Directors are availableon the Company's website.,https://on.tcs.com/Familiarization
"Disclosure under the SexualHarassment of Women atWorkplace (Prevention,Prohibition and Redressal) Act,2018",,The details have been disclosed in the Business Responsibility Report forming partof the Annual Report.,
