,Ind AS,Ind AS,Ind AS,Ind AS,Ind AS,Indian GAAP,Indian GAAP,Indian GAAP,Indian GAAP,Indian GAAP,Indian GAAP
Amounts in Crore,FY2020,FY2019,FY 2018,FY2017,FY2016,FY 2015*,FY2015,FY 2014,FY2013,FY2012,FY 2011
Revenues,,,,,,,,,,,
Total revenue,"156,949","146,463","123,104","117,966","108,646","94,648","94,648","81,809",62.989,48.894,37.325
Revenue by geographic segments,,,,,,,,,,,
Americas,"82,000","77,562","66,145",66.091,"60,011","51,053","51,053","45,259","35,247","27,570","21,457"
Europe,"48,037","43,456","34,155","30,038","29,092","26,730","26,730","23,433","16,813",12.382,"9,251"
India,"8,964",8.393,7921,7415,"6,729",6.108,"6,108","5,488",4.890,"4,202","3,435"
Others,17.948,17.052,"14,883",14，422,12.814,10.757,"10,757",7.629,"6,039",4.740,3.182
Cost,,,,,,,,,,,
Employee cost,"85,952","78,246","66,396","61,621","55,348","48,296","50,924","40,486",31.922,"24,683",18.806
Other operating cost,28.888,"28,711","24,192","24,034","22,621","19,242","19,242","16,170","13,027","9,776",7341
Totalcost (excluding interest &depreciation),"114,840","106,957","90,588","85,655",77.969,"67,538","70,166","56,656","44,949","34,459","26,147"
Profitability,,,,,,,,,,,
EBITDA (Beforeotherincome),"42,109","39,506",32.516,"32,311",30.677,2710,24，482,25.153,18.040,14，435,11.178
Profit before tax,"42,248",41.563,"34,092",34.513,"31,840","28,437","25,809","25,402","18,090",13.923,11.021
Profit after taxatributable toshareholdersofthecompany,"32,340","31,472",25.826,"26,289",24，270,21.912,"19,852","19,164",13.917,"10,413",9.068
Financial Position,,,,,,,,,,,
Equity share capital,375,375,191,197,197,196,196,196,196,196,196
Reservesand surplus,"83,751","89,071","84,937",86.017,"70,875","52,499","50,439",48.999,"38,350","29,284","24,209"
Grossblock ofpropertyplantandequpment,"26,444","24,522","22,720","20,891","19,308","16,624","16,624","13,162","10,996",8.844,"7,199"
Total investments,"26,356","29,330",36.008,41.980,22.822,"1,662","1,662",3，434,1897,1.350,1.763
Net current assets,"63,177",70.047,63.396,65.804,"47,644","30,726","28,495",27.227,"19,734","12,673",9.790
Earnings per share in,,,,,,,,,,,
EPS-as reported,86.19,83.05,134.19,133.41,123.18,111.87,101.35,97.67,70.99,53.07,46.27
EPS-adjusted for Bonus Issue,86.19,83.05,67.10,66.71,61.59,55.94,50.68,48.84,35.50,26.54,23.14
Headcount (number),,,,,,,,,,,
Headcount (including subsidiaries)as on March 31st,"448,464","424,285","394,998","387,223","353,843","319,656",319.656,300.464,"276,196",238.583,"198,614"
