,,,,,,(crore) Total
Financial assets,Fair value through profit or loss,Fair value through other comprehensive income,Derivative instruments in hedging relationship,Derivative instruments not in hedging relationship,Amortised cost,carrying value
Cash and cash equivalents,,,,,"7,224","7,224"
Bank deposits,,,,",","5,428","5,428"
Earmarked balances with banks,,,,=,197,197
Investments,"3,808","24,830",=,,692,"29,330"
Trade receivables,=,,,,"27,441","27,441"
Unbilled receivables,,,,,"5,548","5,548"
Loans receivables,,,,=,"8,089","8,089"
Other financial assets,=,,237,348,"1,921","2,506"
Total,"3,808","24,830",237,348,"56,540","85,763"
Financial liabilities,,,,,,
Trade payables,,,,-,"6,292","6,292"
Lease liabilities,- 218,,,-,44,44
Other financial,,,,60,"4,912","5,190"
liabilities,,,,,,
Total,218,,,60,"11,248","11,526"
