,(crore) Rightsunder,(crore) Rightsunder,(crore) Rightsunder
,licensing agreement and software,Customer- related intangibles,Total
"Cost as at April 1, 2018",licences 80,89,169
Additions Acquisition through a business,178,- 28,178
combination,-,,28
Translation exchange difference,(2),(2),(4)
"Cost as at March 31, 2019 Accumulated amortisationas",256,115,371
"at April 1, 2018",(68),(89),(157)
Amortisation for the year Translation exchange,(35) 1,(4) 了,(39)
difference,,,4
"Accumulated amortisation as at March31,2019",(102),(90),(192)
"Net carrying amount as at March 31,2019",154,25,179
