,Unconsolidated,Unconsolidated,Consolidated,Consolidated
,Financial Year2019-20(FY 2020),Financial Year2018-19(FY 2019),Financial Year2019-20(FY 2020),Financial Year2018-19(FY 2019)
Revenue,"131,306","123,170","156,949","146,463"
Other income,"8,082","7,627","4,592","4,311"
Total income,"139,388","130,797","161,541","150,774"
Expenses,,,,
Operating expenditure,"93,953","88,206","114,840","106,957"
Depreciation and amortisation expense,"2,701","1,716","3,529","2,056"
Total expenses,"96,654","89,922","118,369","109,013"
Profit before finance costs and tax,"42,734",40.875,"43,172","41,761"
Finance costs,743,170,924,198
Profit before tax (PBT),"41,991","40,705","42,248","41,563"
Tax expense,"8,731","10,640","9,801","10,001"
Profitfor the year,"33,260","30,065","32,447","31,562"
Attributable to:,,,,
Shareholders of the Company,"33,260","30,065","32,340","31,472"
Non-controlling interests,NA,NA,107,90
Opening balance of retained earnings,"77,159","74,080","85,520","79,755"
Closing balance of retained earnings,"71,532","77,159","78,810","85,520"
