Platform as a Service(PaaS),Platform as a Service(PaaS),A category of cloud computing that provides a platformand environment to allow developers to build applicationsand services over the internet.PaaS servicesare hostedin the cloud and accessed by users simply via their webbrowser.,
Pricing,Pricing,"The price charged to the customer for a billable effort,turnkey project ora certain process outcome,dependingon the nature of the contract.Some use this terminterchangeably (and somewhat inaccurately) with theaverage revenue realized by the company perutilized effortonanaggregate basis.See Realization.",
Private Cloud,Private Cloud,"Refers to a model of cloud computing where ITinfrastructure,in terms of compute and storage resources,are provisioned for the dedicated use of a singleorganization.",
Product,Product,"In the technology context, refers toa packaged software program that is made available to multiple customerseither ona license basis,or ona subscription basis,toenable the execution of certain common tasks or processesor business functions in a standardized way. This is theopposite of bespoke or custom software which is built to specifications to meet a customer's unique needs.",
Public Cloud,Public Cloud,A computing service model used for the provisioning ofstorage and computational services to the general publicover the internet. Public cloud facilitatesaccess to ITresources on a ‘pay as you go’ billing model.,
R&l,R&l,Acronym for Research& Innovation,
Realization,Realization,"The revenue received by the company per utilized effort.Pricing varies by service and by market. Consequently,there canbechanges in realizationcompared toa priorperiod,due to changes in the underlying business orgeographic mix during the period. This does not necessarilymean that like-to-like pricing has changed.Also, realizationdoesn't take into account the costsand therefore,higherrealization isnot necessarilymore profitable.",
Realization,Realization,"The revenue received by the company per utilized effort.Pricing varies by service and by market. Consequently,there canbechanges in realizationcompared toa priorperiod,due to changes in the underlying business orgeographic mix during the period. This does not necessarilymean that like-to-like pricing has changed.Also, realizationdoesn't take into account the costsand therefore,higherrealization isnot necessarilymore profitable.",
Related Party Transactions,Related Party Transactions,"Any transaction between a company and its related partyinvolving transferofservices,resourcesoranyobligation,regardless of whethera price is charged.Please refer to the Company'spolicyon Related PartyTransactions: http://www.tcs.com/ir-corporate-governance.",
Revenue,Revenue,"The income earned by the Company from operations byproviding IT and consulting services, software licenses,andhardware equipment to customers.",
RFP,RFP,"Acronym for Request for Proposal, meaninga documentthat solicits proposal,often made through a biddingprocess,by an entity interested in procurement of ITservices,to potential service providers to submit businessproposals. An RFP is floated early in the procurement cycleand requested information may include basic corporateinformationandhistory,financial information,technicalcapability and estimated completion period,and customerreferences.",
,,"Acronym for Request for Proposal, meaninga documentthat solicits proposal,often made through a biddingprocess,by an entity interested in procurement of ITservices,to potential service providers to submit businessproposals. An RFP is floated early in the procurement cycleand requested information may include basic corporateinformationandhistory,financial information,technicalcapability and estimated completion period,and customerreferences.",
,,"Acronym for Request for Proposal, meaninga documentthat solicits proposal,often made through a biddingprocess,by an entity interested in procurement of ITservices,to potential service providers to submit businessproposals. An RFP is floated early in the procurement cycleand requested information may include basic corporateinformationandhistory,financial information,technicalcapability and estimated completion period,and customerreferences.",
