,"Note As at March 31, 2020","As at March 31, 2019"
ASSETS,,
Non-current assets,,
"Property, plant and equipment",10(a),"10,941 10,411"
Capital work-in-progress,,906 963
Right-of-use assets,9,"7,994 -"
Goodwill,10(b),"1,710 1,700"
Other intangible assets,10(c),283 179
Financial assets,,
Investments,8（a),216 239
Trade receivables,8(b),74 95
Unbilled receivables,,324 391
Loans receivables,8(e),29 60
Other financial assets,8（f),"1,184 738"
Income tax assets (net),,"2,462 4,017"
Deferred tax assets (net),17,"2,828 2,656"
Other assets,10(d),"1,711 1,363"
Total non-current assets,,"30,662 22,812"
