,Fairvalue through profit or loss,Fairvalue through other comprehensive,Derivative instruments in hedging,Derivative instruments not in hedging,Amortised cost,Total carrying value
,,income,relationship,relationship,Amortised cost,Total carrying value
Financial assets Cash and cash equivalents,,,,,"3,852","3,852"
Bank deposits,,,,,787,787
Earmarked balances with banks,,,,,185,185
Investments (other than in subsidiary),"1,264","24,422",,,·,"25,686"
Trade receivables,,,,,"28,734","28,734"
Unbilled receivables,=,,,,"5,087","5,087"
Loans receivables,,,,,"7,272","7,272"
Other financial assets,,,146,279,"1,647","2,072"
Total,"1,264","24,422",146,279,"47,564","73,675"
Financial liabilities,,,,,,
Trade payables,,,,=,"8,734","8,734"
Lease liabilities,,,,,"6,110","6,110"
Other financial liabilities,,,34,659,"4,238","4,931"
Total,,,34,659,"19,082","19,775"
