"As at March 31, 2020","As at March 31, 2019","As at March 31, 2020","As at March 31, 2019"
Transfer from Special Economic Zone re-investment reserve,,"2,347","3,334"
Less: Appropriations,,"112,113","91,341"
Dividend on equity shares,,"31,896","10,085"
Tax on dividend,,"5,738","1,339"
Transfer to capital redemption reserve*,,,8
Transfer to Special Economic Zone re-investment reserve,,"2,947","2,750"
Investment revaluation reserve,,"71,532","77,159"
Opening balance,,258,-18
Realised loss on equity shares carried at fair value through OCI,,,1
Change during the year (net),,624,275
Cash flow hedging reserve (Refer note 6(k)),,882,258
Opening balance,,104,-71
Change during the year (net),,(127) (23),175 104
