Sr. No.,Name of the shareholder*,Number of equityshares held,Percentage ofholding
1,Tata Sons Private Limited,"2,702,450,947",72.0
2,Life Insurance Corporation ofIndia,"157,538,396",4.2
了,Invesco OppenheimerDeveloping Markets Fund,"28,045,020",0.8
4,SBI Mutual Fund,"26,429,597",0.7
5,Axis Mutual Fund Trustee Limited,"16,609,800",0.4
6,Government Of Singapore,"16,012,250",0.4
7,Vanguard Total InternationalStock Index Fund,"15,772,829",0.4
8,"Vanguard Emerging MarketsStock Index Fund,A Series OfVanguard International EquityIndex Funds","13,199,846",0.4
9,ICICI Prudential Life InsuranceCompany Limited,"12,868,617",0.3
10,First State Investments Icvc-Stewart Investors Asia PacificLeaders Fund,"12,257,728",0.3
