TCS Pace PortTM,"Physical spaces where TCS Pace can be experienced.These spaces are close to academic and start-up hubs,andenclose innovation showcases, Agile workspaces and thinkspaces.They encourage brainstorming, design thinking andcollaborative innovation with internal and external partners."
TCV,See Total Contract Value
Time and MaterialsContract,"A form of services contract where the customer is billed forthe effort (in hours,days,weeks,etc.) logged by the projectteam members.Project risk is borne by the customer. Thiscontrasts with Fixed Price Contracts."
Total Contract Value,"An aggregation of the value of all the contracts signedduring a period and a useful indicator of demand,and nearterm business visibility."
Turnkey Contracts,See Fixed Price Contracts
Unearned and DeferredRevenue,"For invoices raised in line with agreed milestones forservices yet to be delivered.In other words,it is the amountthat has been invoiced although the underlying effort is yetto be expended."
VR,See Virtual Reality
Virtual Reality,"Artificial,computer-generated simulation or recreation ofa real-life environment or situation.It engages users byoffering simulated realityexperiences firsthand,primarilyby stimulating their vision and hearing."
Virtualization,"The abstraction of IT resources- like a server, client, storage or network - that masks the physical nature andboundaries of those resources from the users of thoseresources."
Voluntary Attrition,"Refers to reduction in workforce resulting from employeeswillingly leaving the organization to pursue otheropportunities,spend time with family,or for some otherpersonal reason."
XR,"Extended reality,an umbrella term that coversaugmented reality, virtual reality and mixed reality."
Y-o-Y,Year-on-Year
