,Freehold land Buildings Leasehold improvements,Freehold land Buildings Leasehold improvements,Freehold land Buildings Leasehold improvements,Plant and equipmen,Computer equipment,Vehicles Office equipment,Vehicles Office equipment,Electrical installations,Furniture and fixtures Total,Furniture and fixtures Total,
,"323 7,348：","323 7,348：","1,820",539,"6,273","36 2,164","36 2,164","1,802","1,42021,725","1,42021,725",
,"323 7,348：","323 7,348：",：,(61),：,：,： ·,： ·,：,· (61),· (61)
,323,"7,348","1,759",539,"6,273",36,"2,164","1,802","1,420","21,664",
,·,287,188,128,"1,190",5,174,98,130,"）2,200",
,· (7),· (7),(123),：,（190),(2),(75）,(18),（40）,（455）,
,323,7628,"1,824",667,"7,273",39,"2,263","1,882",,"23,409",
,=,"(2,150)","(1,010)",(166),"(4,975)",(29),"(1,740)","(1,029)","(1,1)","(12,203）",
,=,：,36,：,：,：,,：,·,36,
,·,"(2,150）",（974),(166),"(4,975)",(29),"(1,740)","(1,029)","(1,14)","(1,104) (12,167)",
,·,,,,,,,,,,
,,(374),(115),(58),(750),(5),(203),(140),,"(1,782)",
,,6,47,,189,2,75,17,39,375,
,,(2.518),"(1,042)",(224),"(5,536)",(32),(1.868),"(1,152)",(1.202),(13.574),
Netcarryingamountasatarch,323,"5,110",782,443,"1,737",7,395,730,308,9.835,
