,"Year ended arch31,2","Year ended arch31,2","Year ended arch31,2","Year ended arch31,2","Year ended arch31,2"
,Tata Sons Private Limited,Subsidiaries of Tata Sons Private Limited,Associates/ joint ventures of Tata Sons Private Limited and their subsidiaries,Other related parties,Total
,Contribution and advance to post employment,,,"2,684","2,684"
"benefit plans Purchase of property,plant and equipment",,219,110,,329
Loans and advances given,,4,85,,89
Loans and advances recovered,,3,30,,33
Dividend paid,"22,971",9,,,"22,980"
Revenue,"Year ended March 31,2019","Year ended March 31,2019","Year ended March 31,2019","Year ended March 31,2019","Year ended March 31,2019"
Revenue,Tata Sons Private Limited,Subsidiaries of Tata Sons Private Limited,Associates/ joint ventures of Tata Sons Private Limited and their subsidiaries,Other related parties,Total
Revenue,27 Purchases of goods 1 and services (including,298 447,,"2,241 378","2,566 826"
reimbursements) Brand equity contribution,167,-,-,,167
Facility expenses,1,37,17,,55
"Bad debts and advances written off,allowance for",=,(7),1,,(6)
doubtful trade receivables and advances (net) Contribution and advance,,,,816,816
"to post employment benefit plans Purchase of property, plant",,,,,
and equipment Loans and advances given,,2,48,,50
Loans and advances,,2 -,,2 了,4 了
recovered Dividend paid,"7,254",,,,
Buy-back of shares,"10,455",了 4,,,"7,257 10,459"
Issue of bonus shares*,,=,,,
