Index    Days Sales Outstanding (DSO) in ₹ terms    Days Sales Outstanding (DSO) in $ terms    Invested Funds / Capital Employed    Capital Expenditure / Total Revenue    Operating Cash Flows / Total Revenue    Free Cash Flow / Operating Cash Flow Ratio    Depreciation of Property, Plant and Equipment / Average Gross Block of Property, Plant and Equipment
tsv,,
Ratio Analysis,Units,"FY 2020,FY 2019,FY 2018,FY 2017,FY 2016,FY 2015*,FY 2015,FY 2014,FY 2013,FY 2012,FY 2011"
Ratios - Financial Performance,,
Employee Cost / Total Revenue,%,"54.8,53.4,53.9,52.2,50.9,51.0,53.8,49.5,50.7,50.5,50.4"
Other Operating Cost / Total Revenue,%,"18.4,19.6,19.7,20.4,20.9,20.4,20.3,19.8,20.7,20.0,19.6"
Total Cost / Total Revenue,%,"73.2,73.0,73.6,72.6,71.8,71.4,74.1,74.1,71.4,70.5,70.0"
EBITDA (Before Other Income) / Total Revenue,%,"26.8,27.0,26.4,27.4,28.2,28.6,25.9,30.9,28.6,29.5,30.0"
Profit Before Tax / Total Revenue,%,"26.9,28.4,27.7,29.3,29.3,30.0,27.3,31.1,28.7,28.5,29.5"
Total Revenue / Total Revenue,EBITDA (Before Other Income) / Total Revenue,"Profit Before Tax / Total Revenue,Tax / Total Revenue,Effective Tax Rate - Tax / PBT,Profit After Tax / Total Revenue"
10.2,26.8,"26.9,6.2,23.2,20.6"
10.3,27.0,"28.4,6.8,24.1,21.5"
10.6,26.4,"27.7,6.7,24.1,21.0"
10.6,27.4,"29.3,6.9,23.6,22.3"
10.6,28.2,"29.3,7.2,23.7,23.2"
10.6,28.6,"30.0,7.2,23.9,23.4"
10.6,25.9,"27.3,6.4,22.2,22.1"
10.6,30.7,"31.1,7.4,24.4,21.3"
10.7,28.6,"28.7,6.4,24.4,24.3"
10.8,28.5,"29.5,4.9,16.6"
Header1    Header2    Header3    Header4    Header5,,
Total Revenue    7.2    19.0    4.4    8.6    14.8    15.7    15.7    29.9    28.8    31.0    24.3,,
EBITDA (Before Other Income)    6.6    21.5    0.6    5.3    25.3    7.8    (2.7)    39.4    25.0    29.1    28.6,,
Profit After Tax    2.8    21.9    (1.8)    8.3    22.3    14.3    3.6    37.7    33.6    14.8    29.5,,
Debt-Equity Ratio    Times    -    -    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0,,
Current Ratio    Times    3.3    4.2    4.6    5.5    4.1    3.9    2.4    2.7    2.7    2.2    2.4,,
Days Sales Outstanding (DSO) in ₹ terms    Days    71    68    74    70    81    79    79    81    82    86    80,,
Days Sales Outstanding (DSO) in $ terms    Days    67    69    74    73    80    78    78    82    82    81    82,,
Hindustan Unilever Limited    71    67    47.2    2.0    20.6    90.5    8.6,,
Hindustan Unilever Limited    68    69    53.5    1.5    19.5    92.5    8.5,,
Hindustan Unilever Limited    74    74    53.9    1.5    20.4    92.8    9.1,,
Hindustan Unilever Limited    70    73    54.6    1.7    21.4    92.3    9.5,,
Hindustan Unilever Limited    81    80    44.2    1.8    17.6    89.7    10.0,,
Hindustan Unilever Limited    79    78    38.0    3.1    20.5    84.8    11.7,,
Hindustan Unilever Limited    79    78    43.5    3.8    20.5    84.8    11.7,,
Hindustan Unilever Limited    81    82    43.0    4.2    18.0    78.9    10.6,,
Hindustan Unilever Limited    82    82    36.4    4.9    18.4    77.3    10.2,,
Hindustan Unilever Limited    82    81    34.8    4.9    14.3    71.5    10.7,,
Hindustan Unilever Limited    80    82    36.8    4.9    17.7    72.7    10.5,,
