Key Risks,Impact on the Company,Mitigation
Disruption and Uncertainty in Business due to Covid-19 pandemic,"The company's operations might be adversely impacted due to incapacitation of sections of the global workforce due to exposure to the pandemic, reduced productivity due to employee stress and impact on emotional wellbeing while under local lockdowns or quarantines,inability to provide work from home access to some employees due to logistical or security or contractual reasons,and suppliers'inability to service TCS.These could impact revenue growth and lead to potential customer claims on grounds of non-adherence to service delivery commitments. Demand for the company's services may be adversely affected not only in industry segments directly impacted by the pandemic - like travel and hospitality,but across other segments as well due to a sharp slowing down of the world's majoreconomies.This is likely to affect the company's earnings in the short and medium term. However, the company's relative competitiveness is expected to increase because of its traditional value focus and its strong track record in helping customers improve the efficiency and",Enterprise level to drive a holistic action plan and coordinate global efforts Deployment of TCS'Secure Borderless Workspaces infrastructure
Disruption and Uncertainty in Business due to Covid-19 pandemic,"The company's operations might be adversely impacted due to incapacitation of sections of the global workforce due to exposure to the pandemic, reduced productivity due to employee stress and impact on emotional wellbeing while under local lockdowns or quarantines,inability to provide work from home access to some employees due to logistical or security or contractual reasons,and suppliers'inability to service TCS.These could impact revenue growth and lead to potential customer claims on grounds of non-adherence to service delivery commitments. Demand for the company's services may be adversely affected not only in industry segments directly impacted by the pandemic - like travel and hospitality,but across other segments as well due to a sharp slowing down of the world's majoreconomies.This is likely to affect the company's earnings in the short and medium term. However, the company's relative competitiveness is expected to increase because of its traditional value focus and its strong track record in helping customers improve the efficiency and",enabling associates to work from home and ensure business continuity. Digital communication channels and collaboration platforms set up for them to stay connected with colleagues and customers
Disruption and Uncertainty in Business due to Covid-19 pandemic,"The company's operations might be adversely impacted due to incapacitation of sections of the global workforce due to exposure to the pandemic, reduced productivity due to employee stress and impact on emotional wellbeing while under local lockdowns or quarantines,inability to provide work from home access to some employees due to logistical or security or contractual reasons,and suppliers'inability to service TCS.These could impact revenue growth and lead to potential customer claims on grounds of non-adherence to service delivery commitments. Demand for the company's services may be adversely affected not only in industry segments directly impacted by the pandemic - like travel and hospitality,but across other segments as well due to a sharp slowing down of the world's majoreconomies.This is likely to affect the company's earnings in the short and medium term. However, the company's relative competitiveness is expected to increase because of its traditional value focus and its strong track record in helping customers improve the efficiency and","24*7dedicated helpline for associates to address their Covid-19 related queries and for emotional support. Organization of regular webinars,"
Disruption and Uncertainty in Business due to Covid-19 pandemic,"The company's operations might be adversely impacted due to incapacitation of sections of the global workforce due to exposure to the pandemic, reduced productivity due to employee stress and impact on emotional wellbeing while under local lockdowns or quarantines,inability to provide work from home access to some employees due to logistical or security or contractual reasons,and suppliers'inability to service TCS.These could impact revenue growth and lead to potential customer claims on grounds of non-adherence to service delivery commitments. Demand for the company's services may be adversely affected not only in industry segments directly impacted by the pandemic - like travel and hospitality,but across other segments as well due to a sharp slowing down of the world's majoreconomies.This is likely to affect the company's earnings in the short and medium term. However, the company's relative competitiveness is expected to increase because of its traditional value focus and its strong track record in helping customers improve the efficiency and","interactive sessions, group and one-on-one counseling services (including their ergonomic health) for associates with HR and medical specialists"
Disruption and Uncertainty in Business due to Covid-19 pandemic,"The company's operations might be adversely impacted due to incapacitation of sections of the global workforce due to exposure to the pandemic, reduced productivity due to employee stress and impact on emotional wellbeing while under local lockdowns or quarantines,inability to provide work from home access to some employees due to logistical or security or contractual reasons,and suppliers'inability to service TCS.These could impact revenue growth and lead to potential customer claims on grounds of non-adherence to service delivery commitments. Demand for the company's services may be adversely affected not only in industry segments directly impacted by the pandemic - like travel and hospitality,but across other segments as well due to a sharp slowing down of the world's majoreconomies.This is likely to affect the company's earnings in the short and medium term. However, the company's relative competitiveness is expected to increase because of its traditional value focus and its strong track record in helping customers improve the efficiency and",Guidance and mandate of appropriate social distancing measures and workplace and home functioning advisories
Disruption and Uncertainty in Business due to Covid-19 pandemic,"The company's operations might be adversely impacted due to incapacitation of sections of the global workforce due to exposure to the pandemic, reduced productivity due to employee stress and impact on emotional wellbeing while under local lockdowns or quarantines,inability to provide work from home access to some employees due to logistical or security or contractual reasons,and suppliers'inability to service TCS.These could impact revenue growth and lead to potential customer claims on grounds of non-adherence to service delivery commitments. Demand for the company's services may be adversely affected not only in industry segments directly impacted by the pandemic - like travel and hospitality,but across other segments as well due to a sharp slowing down of the world's majoreconomies.This is likely to affect the company's earnings in the short and medium term. However, the company's relative competitiveness is expected to increase because of its traditional value focus and its strong track record in helping customers improve the efficiency and",Management capability which is benchmarked with ISO 22301 certification
,resilience of their business and IT operations through core transformation initiatives and the Machine First Delivery Model.,Regular coordination with key suppliers for expeditious provisioning of assets critical for business services
,resilience of their business and IT operations through core transformation initiatives and the Machine First Delivery Model.,Regular communication with customers about measures taken to
,resilience of their business and IT operations through core transformation initiatives and the Machine First Delivery Model.,maintain business services and reporting of status
,resilience of their business and IT operations through core transformation initiatives and the Machine First Delivery Model.,Drawing up of plans and identification of opportunities for proposing new and re-purposed offerings and solutions during and post the Covid-19 disruption
