Sr.No.,Name and address of the Company,CIN/GLN,Holding/Subsidiary/Associate,%ofsharesheld,ApplicableSection
1.,"Tata Sons Private LimitedBombay House,24, Homi Modi Street, Mumbai, Maharashtra 4Oooo1,India",U99999MH1917PTC000478,Holding,72,2(46)
2.,"APTOnline LimitedSTP Block SGA-Z4,Synergy Park (Non-SEZ) Campus,Opp.DLF CybercityGachibowli, Hyderabad 500032,India",U75142TG2002PLC039671,Subsidiary,89,2（87)
3.,"C-Edge Technologies LimitedPalm Centre, Banyan Park,Suren Road,Andheri East,Mumbai,Maharashtra 40o093,India",U72900MH2006PLC159038,-do-,51,2（87）
4.,"MP Online LimitedNo4th FloorOB14 to17DBCityCorporateBlock,DBMallArera Hil,Bhopal462011,MadhyaPradesh,India",U72400MP2006PLC018777,-do-,89,2（87)
5.,"TCS e-Serve International Limitedgth Floor, Nirmal Building,Nariman Point,Mumbai 40o021, Maharashtra,India",U72300MH2007PLC240002,-do-,100,2（87)
6.,"MahaOnline LimitedDirectorateof Information Technology,MantralayaAnnex,7th Floor,Mumbai 40o032,Maharashtra,ndia",U72900MH2010PLC206026,-do-,74,2（87）
7,"TCS Foundationgth Floor,Nirmal Building,Nariman Point,Mumbai40o021,Maharashtra,Idia",U74999MH2015NPL262710,-do-,100,2（87)
8.,"Tata Consultancy Services (Africa) (PTY) Ltd.39 FergusonRoad,Ilovo,Johannesburg 2196,SouthAfrica",Not Applicable,-do-,100,2（87）
9.,"Tata Consultancy Services (South Africa) (PTY) Ltd.39 FergusonRoad,llovoJohannesburg 196,SouthAfrica",-do-,-do-,100,2（87)
10.,"Tata Consultancy Services Qatar S.S. C.Al BiddaTowerCoiceStret7frdingn.6,Zonen.6treetno30POBoxN10DohaSateftar",-do-,-do-,100,2（87）
11.,"Tata Consultancy Services Saudi ArabiaAkaria, Centre Il,7th Floor,Ofice No 712, Riyadh -11372, Kingdom of Saudi Arabia",-do-,-do-,76,2（87)
12.,"Tata Consultancy Services Asia Pacific Pte Ltd.60,Anson Road,#18-01,Mapletree Anson,Singapore079914",-do-,-do-,100,2（87)
13.,"Tata Consultancy Services Malaysia Sdn Bhd12th Floor, Menara Symphony,No.5,Jalan Prof.KhooKayKim,Seksyen 13,462OoPetaling JayaSelangor,Malaysia",-do-,-do-,100,2（87）
14.,"Tata Consultancy Services (China) Co., Ltd.1sfloor,TowerD3BlockZhongguancunSoftwarePark,Building No.9,No.8Dongbeiwang WestRoad,HadianDistrict,BijingPeople's Republic of China",- do-,-do-,93.2,2（87）
15.,"PT Tata Consultancy Services IndonesiaGedung MenaraPrima Lt.6UnitF,Jl.Dr.IdeAnakAgungGdeAgung Blok 6.2,Kawasan Mega,KuninganKel.KuninganTimur,Kec.Setiabudi Jakarta Selatan 1295O,Indonesia",-do-,-do-,100,2（87）
16.,"Tata Consultancy Services (Thailand) Limited32/46,Sno-ThaiTower,8th Floor,Sukhumvit 21Road(Asoke)Road,Klongtoey-Nua Sub-Ditrict,Wattana District,Bangkok,Thailand",-do-,-do-,100,2（87）
17.,"Tata Consultancy Services (Philippines) Inc.10th Floor,PanoramaTowers,4th StreetCorner,LaneABonifacioGlobal CityTaguigCity,Philippines1634",-do-,-do-,100,2（87)
18.,"Tata Consultancy Services Japan, Ltd.4-1-4 Shibakoen,Minato Ku,Tokyo,Japan",-do-,-do-,66,2（87）
19.,"Tata Consultancy Services Canada Inc.400 University Avenue,25th Floor,Toronto,Ontario M5G1S5,Canada",-do-,-do-,100,2（87）
20.,"Tata Consultancy Services De Espana S.A.C/Santa Leonor 65, Edificio F 2a Planta 28037, Madrid, Spain",-do-,-do-,100,2（87）
21.,"Tata Consultancy Services Deutschland GmbHMesseturm, D-60308 Frankfurt a.M., Germany",-do-,-do-,100,2（87）
22.,"Tata Consultancy Services Netherlands BVSymphony Towers,2Oth Floor, Gustav Mahlerplein 85-91,1082 MS Amsterdam,The Netherlands",-do-,-do-,100,2（87）
23.,"Tata Consultancy Services Sverige ABMäster Samuelsgatan,42SE1157,weden",-do-,-do-,100,2(87)
24.,"Tata Consultancy Services BelgiumLenneke Marelaan 6,1932 Sint-Stevens-Woluwe, Belgium",- do-,- do-,100,2（87)
25.,"TCS Italia s.r.Corso Italia 1, Milano 20122, Italy",-do-,-do-,100,2（87)
26.,"Diligenta LimitedLynch Wood, Peterborough, Cambridgeshire,PE2 6FY, United Kingdom",-do-,-do-,100,2（87)
27.,"Tata Consultancy Services (Portugal) Unipessoal, LimitadaAv.José GomesFerreira,15.7U,1495-139Alges,Portugal",-do-,-do-,100,2（87)
28.,"Tata Consultancy Services Luxembourg S.A.Rue Pafebruch 89D,L - 8308 Capellen,Luxembourg",-do-,-do-,100,2（87）
29.,"Tata Consultancy Services Switzerland Ltd.Thurgauerstrasse 36/38,8050 Zurich, Switzerland",-do-,-do-,100,2（87)
30.,"Tata Consultancy Services Osterreich GmbHOrbi Tower,Thomas Klestil-Platz 13,103O Wien,Austria",-do-,-do-,100,2（87)
31.,"Tata Consultancy Services Danmark ApSC/o CityCallCenterApS, Hammerensgade 1,2,1267 Kobenhavn K,Denmark",-do-,-do-,100,2（87)
32.,"Tata Consultancy Services France SATour Franklin-La Defense 8,100/101Terrasse Boieldieu-92042,La Defense Cedex,Paris,France",-do-,-do-,100,2（87)
33.,"TCS Business Services GmbHElisabethstr11,17,usseldorf,ray",-do-,-do-,100,2（87）
34.,"TCS FNS Pty LimitedLevel 6,76 Berry Street,North Sydney, NSW 2O6O Australia",-do-,-do-,100,2（87)
35.,"TCS Financial Solutions Australia Pty LimitedLevel 6,76 Berry Street, North Sydney, NSW 2O6O Australia",-do-,-do-,100,2(87)
36.,"TCS Financial Solutions Beijing Co.,Ltd.Unit 2509,No.23,QingheAnningzhuang EastRoadNo.18,Haidian District,Beijing,Peoples RepublicChina100193",-do-,-do-,100,2（87)
37.,"TCS Iberoamerica SAMonte Caseros 2600,1329; Montevideo, Uruguay (Postal Code:11100)",-do-,-do-,100,2(87)
38.,"TCS Solution Center S.A.Ruta 8,km1750o,Zonamerica,Ed 600, Montevideo, Uruguay",- do-,-do-,100,2（87)
39.,"Tata Consultancy Services Argentina S.A.Uspallata 3046; Capital Federal, Ciudad Autónoma de Buenos Aires,Argentina (CP: C1437JCJ)",-do-,-do-,100,2（87)
40.,"Tata Consultancy Services De Mexico S.A., De C.V.Av.Insurgentes Sur664,2ndFloor,ColoniaDelValle,Ciudadde Mexico,Mexico,DF,Mexico (Postal Code:03100)",-do-,-do-,100,2（87)
41.,"TCS Inversiones Chile LimitadaCurico 18,Piso 3& 5, Santiago,Chile (Postal Code: 8330088)",-do-,-do-,100,2（87)）
42.,"Tata Consultancy Services Do Brasil LtdaAlameda Madeira,328-13°andar,Alphavill Industrial - Barueri - SP. Zip Code 06453-020",-do-,-do-,100,2（87)
43.,"Tata Consultancy Services Chile S.A.Curicó 18, Piso 3& 5,Santiago, Chile (Postal Code: 8330088)",-do-,-do-,100,2（87)
44.,"TATASOLUTION CENTER S.A.Francisco Salazar E10-61and Camilo Destruge,Building INLUXOR7th Floor; QuitoEcuador",-do-,-do-,100,2（87)
45.,"TCS Uruguay S.A.Monte Caseros 26oo, Montevideo, Uruguay (Postal Code:11100)",-do-,-do-,100,2（87)
46.,"Technology Outsourcing S.A.C.Las Begonisa 475,Sexto Pisa,San lsidro,Lima 27- Peru",-do-,-do-,100,2（87)
47.,"MGDC S.C.Avenue Tizoc No.97, Colonia Ciudad del Sol, Zapopan Jalisco,Guadalajara, Mexico (Postal Code 45050)",-do-,-do-,100,2（87）
48.,"Tata America International Corporation101,Park Avenue,26th Floor, New York017, U.S.A.",-do-,-do-,100,2（87)
49.,"CMC Americas, Inc.379 ThornallStreet, Edison8837,New JerseyU.S.A.",-do-,-do-,100,2（87）
50.,"TCS e-Serve America, Inc.379 ThornallStreet,Edison8837,NewJerseyU.S.A.",-do-,-do-,100,2(87)
51.,"W12 Studios Limited75 Bayham Street, London, England,NW10AA",-do-,-do-,100,2（87）
