Note,As at March 31, 2020,As at March 31, 2019
Inventories,10(e),5,10,
Financial assets,,,,
Investments,8(a),26,140,"29,091"
Trade receivables,8(b),30,532,"27,346"
Unbilled receivables,,5,732,"5,157"
Cash and cash equivalents,8(c),8,646,"7,224"
Other balances with banks,8(d),1,020,"5,624"
Loans receivables,8(e),8,475,"8,029"
Other financial assets,8(f),1,473,"1,769"
Income tax assets (net),,,8,"1,853"
Other assets,10(d),8,206,"6,028"
Total current assets,,90,237,"92,131"
TOTAL ASSETS,,120,899,"114,943"
EQUITY AND LIABILITIES,,,,
Equity,,,,
Share capital,8(l),375,375,
Other equity,11,83,751,"89,071"
Equity attributable to shareholders of the Company,,84,126,"89,446"
Non-controlling interests,,623,453,
Total equity,,84,749,"89,899"
