Sr.No.,Particulars of Remuneration,Sitting Fees for attending board/ committee meetings,Commission,"Others, please specify",Total Amount
1.,Independent Directors,,1.80,60.00,-
1.,Aman Mehta*,1.80,60.00,-,
1.,Dr. Ron Sommer*,1.80,60.00,-,
1.,O P Bhatt**,6.90,200.00,-,
1.,Dr. Pradeep Kumar Khosla,5.10,140.00,-,
1.,Hanne Sorensen,4.80,140.00,-,
1.,Keki Mistry,5.10,140.00,-,
1.,Don Callahan,5.10,140.00,-,
1.,Total (1),30.60,880.00,-,
2.,Other Non-Executive Directors,,4.20,-,-
2.,N Chandrasekaran@,4.20,-,-,-
2.,Aarthi Subramanian@@,5.40,-,-,-
2.,Total (2),9.60,-,■,-
2.,Total (B)=(1+2),40.20,880.00,-,
,Total Managerial Remuneration,,,,
"Ceiling as per the Act (@1% of profits calculated under Section 198 of the Companies Act, 2013)",,,42070.19,,
