Freehold land Buildings Leasehold Plant and Computer Vehicles Office Electrical Furniture and Totalimprovements equipment equipment equipment installations fixtures,Freehold land Buildings Leasehold Plant and Computer Vehicles Office Electrical Furniture and Totalimprovements equipment equipment equipment installations fixtures,Freehold land Buildings Leasehold Plant and Computer Vehicles Office Electrical Furniture and Totalimprovements equipment equipment equipment installations fixtures,Freehold land Buildings Leasehold Plant and Computer Vehicles Office Electrical Furniture and Totalimprovements equipment equipment equipment installations fixtures,Freehold land Buildings Leasehold Plant and Computer Vehicles Office Electrical Furniture and Totalimprovements equipment equipment equipment installations fixtures,Freehold land Buildings Leasehold Plant and Computer Vehicles Office Electrical Furniture and Totalimprovements equipment equipment equipment installations fixtures,Freehold land Buildings Leasehold Plant and Computer Vehicles Office Electrical Furniture and Totalimprovements equipment equipment equipment installations fixtures,Freehold land Buildings Leasehold Plant and Computer Vehicles Office Electrical Furniture and Totalimprovements equipment equipment equipment installations fixtures,Freehold land Buildings Leasehold Plant and Computer Vehicles Office Electrical Furniture and Totalimprovements equipment equipment equipment installations fixtures,Freehold land Buildings Leasehold Plant and Computer Vehicles Office Electrical Furniture and Totalimprovements equipment equipment equipment installations fixtures
"348 7,102 2,257 501 6,786 34 2,221 1,831","348 7,102 2,257 501 6,786 34 2,221 1,831","348 7,102 2,257 501 6,786 34 2,221 1,831","348 7,102 2,257 501 6,786 34 2,221 1,831","348 7,102 2,257 501 6,786 34 2,221 1,831","348 7,102 2,257 501 6,786 34 2,221 1,831","348 7,102 2,257 501 6,786 34 2,221 1,831","348 7,102 2,257 501 6,786 34 2,221 1,831","1,640 22,720","1,640 22,720"
(4),335,236,56,"1,120",7,200,130,150,"2,230"
-,(13),(95),(3),(194),(2),(46) (30),(46) (30),(45),(428)
1,5,5,(2),(25),,2 4,2 4,10,，
345,"7,429","2,403",552,"7,687",39,"2,377","1,935","1,755","24,522"
,"(1,821)","(1,283)",(122),"(5,292)",(28),"(1,720)","(1,004)","(1,234)","(12,504)"
,(374),(205),(54),(820),(4),(245),(147),(168),"(2,017)"
,10,94,2,194,1,46,23,43,413
,(2),(2),2,12,-,(2),(4),(7),(3)
",","(2,187)","(1,396)",(172),"(5,906)",(31),"(1,921)","(1,2)","(1,366)","(14,111)"
345,"5,242","1,007",380,1781,8,456,803,389,"10,411"
