(crore),(crore),(crore)
,"Yearended March 31,2020","Yearended March31,2019"
CASHFLOWSFROMOPERATINGACTIVITIES Profit for the year,"32,447","31,562"
Adjustments to reconcile profit and loss to net cash provided by operating activities,,
"Depreciation and amortisation expense Bad debts and advances written off,allowance for doubtful trade","3,529 144","2,056 187"
receivables and advances (net),,
Tax expense,"9,801","10,001"
Net gain on lease modification,(14),
Unrealised foreign exchange (gain)/loss,(117),7
"Net gain on disposal of property, plant and equipment",(46),(84)
Net gain on investments,(214),
Interest income,"(3,562)",(427)
Dividend income,,"(2,762)"
Finance costs,(10),(18)
Operating profit before working capital changes,924,198
Net change in,"42,882","40,720"
Inventories,5,16
Trade receivables,"(3,295)","(2,883)"
Unbilled receivables,(508),"1,286"
Loans receivables and other financial assets,(2),
Other assets,"(3,492)",(499)
Trade payables,,"(3,687)"
Unearned and deferred revenue,446,"1,496"
Other financial liabilities,375,679
Other liabilities and provisions,"1,208",791
,596,632
Cash generated from operations,"38,215","38,551"
Taxes paid (net of refunds),"(5,846)",(9.958)
Net cash generated from operatingactivities,"32,369","28,593"
CASHFLOWSFROM INVESTING ACTIVITIES Bank deposits placed,"(7,663)",
Inter-corporate deposits placed,"(14,905)","(6,029)"
Purchase of investments*,"(80,002)","(13,724)"
"Payment for purchase of property, plant and equipment",,"(96,751)"
,"(2,538)","(2,053)"
Payment including advances for acquiring right-of-use assets,(519),
Payment for purchase of intangible assets,(192),(178)
"Purchase of subsidiary, net of cash of NlL and 16 crore respectively",,(50)
Proceeds from bank deposits,"11,965","2,715"
Proceeds from inter-corporate deposits,"14,432","10,797"
Proceeds from disposal /redemption of investments*,"84,089","104,133"
