"Year ended March 31, 2020",Domestic plans Funded,Domestic plans Unfunded,Domestic plans Funded,Domestic plans Unfunded,Foreign plans Funded,Foreign plans Unfunded,Foreign plans Funded,Foreign plans Unfunded,Total
"Year ended March 31, 2020","2,679",4,629,120,"3,432",,,,
"Year ended March 31, 2020",-,-,55,5,60,,,,
"Year ended March 31, 2020",30,-,-,-,30,,,,
"Year ended March 31, 2020",-,-,9,-,9,,,,
"Year ended March 31, 2020",358,1,16,22,397,,,,
"Year ended March 31, 2020",222,-,11,5,238,,,,
"Year ended March 31, 2020",520,4,43,2,569,,,,
"Year ended March 31, 2020",-,-,-,-,1,,,,
"Year ended March 31, 2020",(171),(1),(10),(10),(192),,,,
"Year ended March 31, 2020","3,638",8,753,145,"4,544",,,,
"Year ended March 31, 2019",Domestic plans Funded,,,,,,,,
"Year ended March 31, 2019",Domestic plans Unfunded,,,,,,,,
"Year ended March 31, 2019",Domestic plans Funded,,,,,,,,
"Year ended March 31, 2019",Domestic plans Unfunded,,,,,,,,
"Year ended March 31, 2019",Foreign plans Funded,,,,,,,,
"Year ended March 31, 2019",Foreign plans Unfunded,,,,,,,,
"Year ended March 31, 2019",Foreign plans Funded,,,,,,,,
"Year ended March 31, 2019",Foreign plans Unfunded,,,,,,,,
"Year ended March 31, 2019",Total,,,,,,,,
"Year ended March 31, 2019","2,308",3,626,103,"3,040",,,,
"Year ended March 31, 2019",-,-,(5),1,(4),,,,
"Year ended March 31, 2019",-,-,-,-,-,,,,
"Year ended March 31, 2019",-,-,-,-,9,,,,
"Year ended March 31, 2019",289,1,14,19,323,,,,
"Year ended March 31, 2019",190,-,9,4,203,,,,
"Year ended March 31, 2019",39,-,25,(2),62,,,,
"Year ended March 31, 2019",-,-,-,-,1,,,,
"Year ended March 31, 2019",(147),-,(14),(6),(167),,,,
"Year ended March 31, 2019","2,679",4,629,120,"3,432",,,,
